episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-29.0,-79.0,-51.61052631578947,22.33684210526316,95,2122,False,2122,95,1,de084a85b15145daa3b369080bb60736,2021-08-16_17-48-52,1629136132,31.911864757537842,31.911864757537842,8444,gpu-os03,132.68.52.223,31.911864757537842,2122,1,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.2869633891803454,0.6387995712754555,5.453376205787781,10.0,10,10,18.74736842105263,2,40,6.0,6,6,18.74736842105263,2,40,263.46315789473687,0,620,266.22105263157897,47,567,0.004543252821434207,0.001763668430335097,0.02127659574468085,22.33684210526316,9,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.2880119467469,4.152293324164433,1.5501232471225161,2100,2122,25764.215,106.67,5224.071,719.252,66.63260869565218,37.9,0.20000000298023224,4.999999873689376e-05,0.5169698,-0.021965444,0.56758356,0.4162536,0.016864765,3.202132,0.009999999776482582
-30.0,-69.0,-49.61,21.65,98,2108,False,4230,193,2,de084a85b15145daa3b369080bb60736,2021-08-16_17-49-28,1629136168,35.68417024612427,67.59603500366211,8444,gpu-os03,132.68.52.223,67.59603500366211,4230,2,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.484501607717042,0.5659163987138264,5.764201500535906,10.0,10,10,20.71,4,55,6.0,6,6,20.71,4,55,252.19,9,695,284.9,93,499,0.003966708177803835,0.002004008016032064,0.010752688172043012,21.65,10,33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.25641741381659,4.172581664332405,1.4138178539175126,4200,4230,28481.506,57.135,4834.264,364.224,59.17450980392157,38.0,0.20000000298023224,4.999999873689376e-05,0.33886927,-0.02538928,0.3921415,0.5968484,0.01926777,3.1736472,0.009999999776482582
-28.0,-78.0,-48.96,21.13,100,2113,False,6343,293,3,de084a85b15145daa3b369080bb60736,2021-08-16_17-49-59,1629136199,31.30568289756775,98.90171790122986,8444,gpu-os03,132.68.52.223,98.90171790122986,6343,3,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.4540836012861735,0.3022508038585209,6.973204715969989,10.0,10,10,20.29,1,44,6.0,6,6,20.29,1,44,261.35,25,601,286.62,87,541,0.004028931029162282,0.0018484288354898336,0.011494252873563218,21.13,8,35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.48920995301647,4.20334935045264,1.3695319275488789,6300,6343,27934.899,39.666,4699.584,245.713,69.42666666666666,38.0,0.20000000298023224,4.999999873689376e-05,0.3429541,-0.026118744,0.39759973,0.59664905,0.015012061,3.1529324,0.009999999776482582
-28.0,-73.0,-49.05,21.17,99,2088,False,8431,392,4,de084a85b15145daa3b369080bb60736,2021-08-16_17-50-38,1629136238,39.30238437652588,138.20410227775574,8444,gpu-os03,132.68.52.223,138.20410227775574,8431,4,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.4265380493033217,0.4844587352625938,5.901393354769561,10.0,10,10,20.35,1,52,6.0,6,6,20.35,1,52,270.72,0,621,286.02,65,573,0.004274844428879715,0.0017452006980802793,0.015384615384615385,21.17,8,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.20980744935837,4.214098916146997,1.3432490860263742,8300,8431,29713.748,30.909,4577.13,187.095,61.16785714285714,38.0,0.20000000298023224,4.999999873689376e-05,0.33968353,-0.018228684,0.38601378,0.62582856,0.01561646,3.1224887,0.009999999776482582
-28.0,-77.0,-50.4,21.94,98,2152,False,10583,490,5,de084a85b15145daa3b369080bb60736,2021-08-16_17-51-14,1629136274,35.27435779571533,173.47846007347107,8444,gpu-os03,132.68.52.223,173.47846007347107,10583,5,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.7915326902465165,0.5959271168274384,7.706323687031083,10.0,10,10,22.97,2,62,6.0,6,6,22.97,2,62,287.99,29,837,314.08,61,585,0.003905376056295056,0.0017094017094017094,0.01639344262295082,21.94,8,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.79785226945049,4.192811629168924,1.326128456846875,10400,10583,29930.383,26.241,4548.276,152.336,62.66800000000001,38.0,0.20000000298023224,4.999999873689376e-05,0.3110249,-0.028045472,0.36658823,0.62434787,0.016397541,3.079736,0.009999999776482582
-29.0,-74.0,-50.56,22.15,95,2082,False,12665,585,6,de084a85b15145daa3b369080bb60736,2021-08-16_17-51-43,1629136303,29.472222328186035,202.9506824016571,8444,gpu-os03,132.68.52.223,202.9506824016571,12665,6,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.91449088960343,0.9989281886387996,7.984994640943194,10.0,10,10,24.6,5,68,6.0,6,6,24.6,5,68,297.52,43,764,330.18,61,635,0.003709242435341691,0.0015748031496062992,0.01639344262295082,22.15,9,36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.78579566167177,4.184240507487356,1.3178769266211072,12400,12665,29157.664,22.866,4479.687,128.859,64.70714285714287,38.00238095238095,0.20000000298023224,4.999999873689376e-05,0.30328113,-0.032862224,0.3625022,0.6294505,0.01936438,3.02317,0.009999999776482582
-28.0,-75.0,-47.51923076923077,20.403846153846153,104,2122,False,14787,689,7,de084a85b15145daa3b369080bb60736,2021-08-16_17-52-16,1629136336,32.729944705963135,235.68062710762024,8444,gpu-os03,132.68.52.223,235.68062710762024,14787,7,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.598297468876247,0.4180064308681672,6.92604501607717,10.0,10,10,23.432692307692307,1,52,6.0,6,6,23.432692307692307,1,52,265.5769230769231,0,655,308.5,23,615,0.00440999280314889,0.0016260162601626016,0.043478260869565216,20.403846153846153,8,34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.91002414302285,4.209510256768495,1.3095891623363771,14500,14787,29043.443,20.163,4459.335,112.232,69.40212765957448,38.036170212765946,0.20000000298023224,4.999999873689376e-05,0.31901133,-0.029744586,0.37518415,0.627572,0.016856631,2.9799597,0.009999999776482582
-29.0,-81.0,-51.02,22.25,94,2093,False,16880,783,8,de084a85b15145daa3b369080bb60736,2021-08-16_17-52-59,1629136379,42.89102554321289,278.57165265083313,8444,gpu-os03,132.68.52.223,278.57165265083313,16880,8,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.010825294748124,0.8467309753483387,7.423365487674169,10.0,10,10,25.17,6,60,6.0,6,6,25.17,6,60,297.44,29,724,337.56,31,705,0.0038807158801089986,0.0014184397163120568,0.03225806451612903,22.25,9,39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.78794360465795,4.194716993776342,1.30435116678203,16500,16880,30250.789,18.344,4420.808,99.6,54.395081967213116,38.099999999999994,0.20000000298023224,4.999999873689376e-05,0.3001028,-0.036429457,0.36232364,0.6353917,0.020555403,2.9902506,0.009999999776482582
-28.0,-81.0,-51.89,22.55,95,2138,False,19018,878,9,de084a85b15145daa3b369080bb60736,2021-08-16_17-53-35,1629136415,35.89642572402954,314.46807837486267,8444,gpu-os03,132.68.52.223,314.46807837486267,19018,9,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.076248660235798,1.2304394426580922,8.711682743837084,10.0,10,10,26.0,6,60,6.0,6,6,26.0,6,60,314.28,43,773,357.92,101,683,0.003290691086052179,0.0014641288433382138,0.009900990099009901,22.55,8,37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.71331695567595,4.178006772833638,1.2974663007841196,18600,19018,30391.632,16.992,4412.046,89.572,63.99615384615385,38.099999999999994,0.30000001192092896,4.999999873689376e-05,0.27919933,-0.026369998,0.33106402,0.65014696,0.013502131,2.9545345,0.009999999776482582
-29.0,-80.0,-50.88,22.21,96,2126,False,21144,974,10,de084a85b15145daa3b369080bb60736,2021-08-16_17-54-12,1629136452,36.887221813201904,351.3553001880646,8444,gpu-os03,132.68.52.223,351.3553001880646,21144,10,10,1dc52510,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.9493461950696673,1.4662379421221865,7.714898177920686,10.0,10,10,25.83,1,61,6.0,6,6,25.83,1,61,280.4,0,620,361.32,73,713,0.0032894090252524517,0.001402524544179523,0.0136986301369863,22.21,9,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.68204639822314,4.172075252457561,1.3018316706898103,20700,21144,30606.249,15.894,4402.01,81.718,64.33461538461538,38.099999999999994,0.30000001192092896,4.999999873689376e-05,0.3005318,-0.032404453,0.35660714,0.63444483,0.017597359,2.8950093,0.009999999776482582
