episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-1764.0,-4461.0,-2737.1,244.8,10,2448,False,2448,10,1,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-53-16,1629132796,13.008817672729492,13.008817672729492,3048,gpu-os03,132.68.52.223,13.008817672729492,2448,1,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",25.125830653804933,24.45016077170418,26.722400857449088,69.9,51,94,0.0,0,0,40.2,29,50,0.0,0,0,0.0,0,0,2674.4,2457,3035,0.00037585109387262464,0.00032948929159802305,0.000407000407000407,244.8,210,319,40.2,29,50,2674.4,2457,3035,244.8,210,319,25.125830653804933,24.45016077170418,26.722400857449088,69.9,51,94,19.419050066430135,1.5857563705066329,1.4732305635059724,2400,2448,6576.229,91.953,5591.252,647.43,58.626315789473686,37.968421052631584,0.20000000298023224,4.999999873689376e-05,77.15154,-0.042011645,77.21941,0.24012494,0.030133916,3.1879728,0.009999999776482582
-1286.0,-4461.0,-2223.64,218.2,15,3007,False,5455,25,2,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-53-37,1629132817,21.308008193969727,34.31682586669922,3048,gpu-os03,132.68.52.223,34.31682586669922,5455,2,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",24.330460878885315,22.711682743837084,26.722400857449088,62.52,45,94,0.0,0,0,36.8,24,50,0.0,0,0,0.0,0,0,2522.04,2055,3035,0.0004002117329298374,0.00032948929159802305,0.00048661800486618007,218.2,172,319,36.8,24,50,2522.04,2055,3035,218.2,172,319,24.330460878885315,22.711682743837084,26.722400857449088,62.52,45,94,21.274293161692416,1.5077042374093657,1.3703194414561364,5400,5455,10858.742,50.805,5855.245,329.325,48.91612903225806,38.09999999999999,0.30000001192092896,4.999999873689376e-05,25.376646,-0.04916106,25.449528,0.5853539,0.025951227,3.1508458,0.009999999776482582
-1192.0,-4461.0,-1917.2558139534883,204.30232558139534,18,3330,False,8785,43,3,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-54-02,1629132842,25.21658945083618,59.5334153175354,3048,gpu-os03,132.68.52.223,59.5334153175354,8785,3,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",24.054537750193177,22.583065380493032,26.722400857449088,57.7906976744186,42,94,0.0,0,0,34.06976744186046,22,50,0.0,0,0,0.0,0,0,2443.5581395348836,2033,3035,0.00041331852071713676,0.00032948929159802305,0.0004918839153959665,204.30232558139534,161,319,34.06976744186046,22,50,2443.5581395348836,2033,3035,204.30232558139534,161,319,24.054537750193177,22.583065380493032,26.722400857449088,57.7906976744186,42,94,21.6155039878269,1.500357584268436,1.3627532337216715,8700,8785,13390.504,38.163,6143.714,222.648,46.08055555555556,38.099999999999994,0.44999998807907104,4.999999873689376e-05,12.58469,-0.054995876,12.660843,0.6999093,0.021815188,3.0972984,0.009999999776482582
-809.0,-4461.0,-1645.6031746031747,187.44444444444446,20,3024,False,11809,63,4,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-54-22,1629132862,20.018800258636475,79.55221557617188,3048,gpu-os03,132.68.52.223,79.55221557617188,11809,4,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",23.521563823814624,21.723472668810288,26.722400857449088,53.63492063492063,37,94,0.0,0,0,31.365079365079364,20,50,0.0,0,0,0.0,0,0,2316.4603174603176,1661,3035,0.0004390696915807788,0.00032948929159802305,0.0006020469596628537,187.44444444444446,129,319,31.365079365079364,20,50,2316.4603174603176,1661,3035,187.44444444444446,129,319,23.521563823814624,21.723472668810288,26.722400857449088,53.63492063492063,37,94,22.26230922940856,1.4970829508875925,1.347087701441565,11700,11809,13503.542,30.261,6141.409,169.55,55.667857142857144,38.1,0.675000011920929,4.999999873689376e-05,8.583188,-0.0664332,8.665279,0.7118017,0.02135914,3.0074983,0.009999999776482582
-545.0,-4461.0,-1447.6265060240964,174.78313253012047,20,2698,False,14507,83,5,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-54-35,1629132875,12.753867626190186,92.30608320236206,3048,gpu-os03,132.68.52.223,92.30608320236206,14507,5,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",23.170805408127684,21.236870310825296,26.722400857449088,49.95180722891566,28,94,0.0,0,0,29.180722891566266,15,50,0.0,0,0,0.0,0,0,2231.120481927711,1661,3035,0.000457250762060022,0.00032948929159802305,0.0006020469596628537,174.78313253012047,118,319,29.180722891566266,15,50,2231.120481927711,1661,3035,174.78313253012047,118,319,23.170805408127684,21.236870310825296,26.722400857449088,49.95180722891566,28,94,22.354582525908143,1.498298245923023,1.3365815587958396,14300,14507,12286.163,25.449,5973.004,137.494,60.36842105263158,38.10526315789474,1.0125000476837158,4.999999873689376e-05,5.608554,-0.0646558,5.6839557,0.74207973,0.01807444,2.9046087,0.009999999776482582
-492.0,-4461.0,-1268.18,162.04,20,2382,False,16889,103,6,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-54-51,1629132891,15.718536853790283,108.02462005615234,3048,gpu-os03,132.68.52.223,108.02462005615234,16889,6,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",22.77172561629153,20.538049303322616,26.722400857449088,46.8,27,94,0.0,0,0,27.34,15,50,0.0,0,0,0.0,0,0,2141.82,1301,3035,0.0004790901307446965,0.00032948929159802305,0.0007686395080707148,162.04,99,319,27.34,15,50,2141.82,1301,3035,162.04,99,319,22.77172561629153,20.538049303322616,26.722400857449088,46.8,27,94,22.576389227360686,1.4848419391345342,1.3234973867656947,16600,16889,12068.229,22.15,5761.288,116.129,52.47727272727273,38.12272727272728,1.0125000476837158,4.999999873689376e-05,4.488235,-0.07743733,4.571817,0.7652535,0.02144212,2.7854316,0.009999999776482582
-375.0,-1909.0,-888.91,136.61,23,2406,False,19295,126,7,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-55-07,1629132907,16.276679515838623,124.30129957199097,3048,gpu-os03,132.68.52.223,124.30129957199097,19295,7,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",22.04962486602358,20.278670953912112,25.35476956055734,39.79,25,60,0.0,0,0,23.07,14,37,0.0,0,0,0.0,0,0,1945.4,1301,2767,0.0005263161592495207,0.0003614022406938923,0.0007686395080707148,136.61,86,221,23.07,14,37,1945.4,1301,2767,136.61,86,221,22.04962486602358,20.278670953912112,25.35476956055734,39.79,25,60,22.669469101565564,1.508922551218613,1.3131568041680675,19000,19295,11965.612,19.908,5636.492,101.093,44.38695652173913,38.20000000000002,1.5187499523162842,4.999999873689376e-05,3.6888955,-0.069513954,3.7642787,0.7432297,0.01397717,2.70972,0.009999999776482582
-330.0,-1218.0,-654.75,116.57,27,2650,False,21945,153,8,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-55-23,1629132923,16.074097156524658,140.37539672851562,3048,gpu-os03,132.68.52.223,140.37539672851562,21945,8,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",21.42668810289389,20.278670953912112,24.893890675241156,34.72,24,52,0.0,0,0,20.16,14,32,0.0,0,0,0.0,0,0,1779.24,1301,2431,0.0005715395616308006,0.00041135335252982314,0.0007686395080707148,116.57,83,174,20.16,14,32,1779.24,1301,2431,116.57,83,174,21.42668810289389,20.278670953912112,24.893890675241156,34.72,24,52,22.534557278192686,1.5308390174231994,1.3049289682828629,21600,21945,11812.1,18.237,5593.994,90.313,42.526086956521745,38.20000000000002,1.5187499523162842,4.999999873689376e-05,2.8118463,-0.06974456,2.8846185,0.777601,0.014865658,2.560538,0.009999999776482582
-249.0,-960.0,-501.16,100.9,30,2652,False,24597,183,9,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-55-42,1629132942,18.887080669403076,159.2624773979187,3048,gpu-os03,132.68.52.223,159.2624773979187,24597,9,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.932411575562696,19.892818863879956,22.711682743837084,30.83,20,44,0.0,0,0,17.95,12,26,0.0,0,0,0.0,0,0,1635.82,1271,2275,0.0006194798512142067,0.00043956043956043956,0.0007867820613690008,100.9,73,143,17.95,12,26,1635.82,1271,2275,100.9,73,143,20.932411575562696,19.892818863879956,22.711682743837084,30.83,20,44,21.733654320479463,1.5675023545404345,1.3064199514806456,24200,24597,12005.9,16.919,5560.299,81.202,44.25555555555556,38.2,1.5187499523162842,4.999999873689376e-05,2.6230378,-0.06527178,2.690823,0.78280866,0.014287416,2.4212546,0.009999999776482582
-249.0,-780.0,-416.11,91.22,30,2416,False,27013,213,10,aefec6486bd74d55be52357ca98b0556,2021-08-16_16-55-56,1629132956,13.759418725967407,173.0218961238861,3048,gpu-os03,132.68.52.223,173.0218961238861,27013,10,10,642e961a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.66778135048232,19.629153269024652,22.312968917470524,28.19,20,44,0.0,0,0,16.47,12,26,0.0,0,0,0.0,0,0,1559.2,1185,1893,0.0006469477841786181,0.0005282620179609086,0.0008438818565400844,91.22,65,119,16.47,12,26,1559.2,1185,1893,91.22,65,119,20.66778135048232,19.629153269024652,22.312968917470524,28.19,20,44,21.49326453920332,1.5927688014339352,1.3067583712216275,26600,27013,11689.23,16.071,5491.705,74.288,49.845000000000006,38.20000000000001,1.5187499523162842,4.999999873689376e-05,1.7960552,-0.064305134,1.8627615,0.8023197,0.013483022,2.2878416,0.009999999776482582
