episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-160.0,-431.0,-306.5483870967742,79.70967741935483,31,2471,False,2471,31,1,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-34-27,1629135267,30.783459186553955,30.783459186553955,30910,gpu-os03,132.68.52.223,30.783459186553955,2471,1,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",9.562147771669606,4.760986066452304,13.87352625937835,20.0,20,20,24.0,10,47,11.0,11,11,24.0,10,47,238.29032258064515,70,575,907.0645161290323,413,1299,0.0011687164970654055,0.0007698229407236335,0.002421307506053269,79.70967741935483,43,102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.32129964798827,1.9888134323923279,1.4422079119685702,2400,2471,24214.458,84.912,5623.941,764.494,46.36000000000001,37.90222222222222,0.20000000298023224,4.999999873689376e-05,2.3953,-0.02646113,2.449312,0.52514243,0.022112608,3.1973364,0.009999999776482582
-160.0,-444.0,-306.0983606557377,80.65573770491804,30,2449,False,4920,61,2,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-34-47,1629135287,19.859402656555176,50.64286184310913,30910,gpu-os03,132.68.52.223,50.64286184310913,4920,2,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",10.291321842109888,4.760986066452304,14.570203644158628,20.0,20,20,25.639344262295083,10,48,11.0,11,11,25.639344262295083,10,48,236.8360655737705,70,575,958.5573770491803,413,1429,0.0010928437593292501,0.0006997900629811056,0.002421307506053269,80.65573770491804,43,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.57799060414148,1.9641929526732658,1.396442842529608,4800,4920,19552.106,45.504,5280.326,386.79,54.52142857142858,38.0,0.30000001192092896,4.999999873689376e-05,1.497973,-0.045800224,1.5697786,0.6785124,0.018640468,3.1597452,0.009999999776482582
-160.0,-444.0,-316.4725274725275,83.08791208791209,30,2641,False,7561,91,3,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-35-07,1629135307,19.320051670074463,69.9629135131836,30910,gpu-os03,132.68.52.223,69.9629135131836,7561,3,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",10.77914796885858,4.760986066452304,15.271168274383708,20.0,20,20,25.032967032967033,6,48,11.0,11,11,25.032967032967033,6,48,227.64835164835165,38,575,1032.6813186813188,413,1477,0.0010176853626251774,0.0006770480704129993,0.002421307506053269,83.08791208791209,43,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.46884656389064,1.950858394343315,1.3778282890955118,7400,7561,17693.973,34.005,5286.135,261.044,57.932142857142864,38.028571428571425,0.30000001192092896,4.999999873689376e-05,1.351438,-0.054300208,1.4304262,0.7104689,0.02152702,3.1146126,0.009999999776482582
-160.0,-444.0,-314.2,82.92,29,2340,False,9901,120,4,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-35-38,1629135338,31.048445224761963,101.01135873794556,30910,gpu-os03,132.68.52.223,101.01135873794556,9901,4,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",11.302036441586282,4.760986066452304,15.367631296891748,20.0,20,20,25.49,6,48,11.0,11,11,25.49,6,48,232.91,38,515,1087.37,413,1477,0.0009577556192724264,0.0006770480704129993,0.002421307506053269,82.92,43,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.041258265845435,1.9310118443727649,1.3471868583817979,9700,9901,19849.533,26.94,5137.446,198.379,45.65681818181818,38.09772727272727,0.44999998807907104,4.999999873689376e-05,1.4869288,-0.04568316,1.5557055,0.6920192,0.016764151,3.0637329,0.009999999776482582
-212.0,-424.0,-311.99,82.57,30,2374,False,12275,150,5,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-35-56,1629135356,18.25562071800232,119.26697945594788,30910,gpu-os03,132.68.52.223,119.26697945594788,12275,5,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",11.896355841371918,6.660235798499464,15.367631296891748,20.0,20,20,25.12,6,51,11.0,11,11,25.12,6,51,229.38,38,515,1144.64,659,1519,0.0008961030368565202,0.0006583278472679394,0.0015174506828528073,82.57,56,108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.32911906702284,1.9244202500233845,1.3307191966159946,12000,12275,18587.679,22.355,5046.178,160.491,61.111538461538466,38.10000000000001,0.44999998807907104,4.999999873689376e-05,1.2514576,-0.05957022,1.3313785,0.7374498,0.02127546,2.992468,0.009999999776482582
-212.0,-424.0,-303.03,80.78,30,2402,False,14677,180,6,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-36-15,1629135375,18.98483633995056,138.25181579589844,30910,gpu-os03,132.68.52.223,138.25181579589844,14677,6,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",12.626666666666665,6.660235798499464,16.439442658092176,20.0,20,20,24.79,7,51,11.0,11,11,24.79,7,51,219.67,26,515,1184.22,659,1519,0.0008616276063900808,0.0006583278472679394,0.0015174506828528073,80.78,56,106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.69259434490906,1.9250680706306098,1.3176682343779336,14400,14677,17833.552,19.636,5017.851,135.435,52.81481481481482,38.1,0.675000011920929,4.999999873689376e-05,1.143514,-0.06703712,1.2258345,0.7498974,0.020080492,2.8837636,0.009999999776482582
-212.0,-407.0,-291.31,78.25,30,2242,False,16919,210,7,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-36-33,1629135393,17.4633846282959,155.71520042419434,30910,gpu-os03,132.68.52.223,155.71520042419434,16919,7,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",13.027738478027867,8.57663451232583,16.439442658092176,20.0,20,20,23.97,6,51,11.0,11,11,23.97,6,51,197.19,26,443,1181.4,829,1519,0.0008607327187291874,0.0006583278472679394,0.0012062726176115801,78.25,55,102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.41740831977866,1.922101595692845,1.30836170721589,16600,16919,17133.394,17.671,4942.846,117.848,61.036,38.1,1.0125000476837158,4.999999873689376e-05,1.1371424,-0.059883274,1.2105641,0.75866526,0.01458902,2.8309705,0.009999999776482582
-199.0,-364.0,-278.78,75.58,31,2202,False,19121,241,8,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-36-54,1629135414,21.032600164413452,176.7478005886078,30910,gpu-os03,132.68.52.223,176.7478005886078,19121,8,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",13.350675241157557,8.57663451232583,17.005359056806004,20.0,20,20,22.21,6,47,11.0,11,11,22.21,6,47,181.46,26,387,1174.32,903,1513,0.0008644180639495256,0.0006609385327164573,0.0011074197120708748,75.58,53,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.03428676876556,1.92553478404608,1.2937512235817032,18800,19121,17051.412,16.117,4889.825,104.111,55.190000000000005,38.099999999999994,1.0125000476837158,4.999999873689376e-05,1.0872469,-0.06864562,1.1646566,0.7683113,0.018453535,2.7448237,0.009999999776482582
-192.0,-350.0,-266.31,72.68,32,2266,False,21387,273,9,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-37-14,1629135434,20.131733655929565,196.87953424453735,30910,gpu-os03,132.68.52.223,196.87953424453735,21387,9,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",13.491811361200432,8.57663451232583,17.007502679528404,20.0,20,20,22.07,6,48,11.0,11,11,22.07,6,48,174.94,8,385,1168.2,797,1473,0.0008712187085030334,0.0006788866259334691,0.0012547051442910915,72.68,53,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.05333181892708,1.9425306927573922,1.287573320559005,21000,21387,16887.497,14.716,4848.644,93.532,58.396551724137936,38.099999999999994,1.0125000476837158,4.999999873689376e-05,0.9799459,-0.06531424,1.0545862,0.79147583,0.017019762,2.6558702,0.009999999776482582
-181.0,-324.0,-255.9,70.81,31,2167,False,23554,304,10,84230abd4ada4a249074adf7fab5910b,2021-08-16_17-37-29,1629135449,14.75490689277649,211.63444113731384,30910,gpu-os03,132.68.52.223,211.63444113731384,23554,10,10,1b25163c,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",13.723386923901396,8.57663451232583,17.55198285101822,20.0,20,20,21.27,4,48,11.0,11,11,21.27,4,48,165.16,8,477,1175.7,797,1473,0.0008680924632324234,0.0006788866259334691,0.0012547051442910915,70.81,53,89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.211078178272004,1.9588579912314956,1.2837502581433373,23100,23554,16239.439,13.736,4794.744,85.28,66.46190476190476,38.10000000000001,1.0125000476837158,4.999999873689376e-05,0.94124013,-0.06864492,1.0175163,0.79294723,0.017701758,2.555427,0.009999999776482582
