episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-2227.0,-3831.0,-3059.0,254.9,10,2549,False,2549,10,1,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-40-52,1629132052,14.294827938079834,14.294827938079834,26876,gpu-os03,132.68.52.223,14.294827938079834,2549,1,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",25.394212218649518,24.025723472668812,26.964630225080384,73.9,60,91,0.0,0,0,45.5,37,64,0.0,0,0,0.0,0,0,2792.5,2281,3469,0.0003632126176686356,0.0002882675122513693,0.00043840420868040335,254.9,220,294,45.5,37,64,2792.5,2281,3469,254.9,220,294,25.394212218649518,24.025723472668812,26.964630225080384,73.9,60,91,16.279723662082933,1.54826077566768,1.4582184018805793,2500,2549,7328.591,99.031,6126.019,644.381,53.48571428571429,37.957142857142856,0.20000000298023224,4.999999873689376e-05,105.973114,-0.041332245,106.04097,0.22199203,0.02687193,3.1910954,0.009999999776482582
-1558.0,-3831.0,-2346.5833333333335,224.16666666666666,14,2831,False,5380,24,2,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-41-23,1629132083,30.599583864212036,44.89441180229187,26876,gpu-os03,132.68.52.223,44.89441180229187,5380,2,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",24.43444087173991,23.125401929260452,26.964630225080384,64.41666666666667,50,91,0.0,0,0,38.791666666666664,28,64,0.0,0,0,0.0,0,0,2580.5416666666665,2177,3469,0.00039284958564429783,0.0002882675122513693,0.00045934772622875517,224.16666666666666,183,294,38.791666666666664,28,64,2580.5416666666665,2177,3469,224.16666666666666,183,294,24.43444087173991,23.125401929260452,26.964630225080384,64.41666666666667,50,91,17.869966953507152,1.5349759222215773,1.3930073720006986,5300,5380,15983.573,55.132,6022.23,327.345,30.352272727272727,38.099999999999994,0.30000001192092896,4.999999873689376e-05,24.232105,-0.053456575,24.310104,0.5668983,0.023280947,3.1525726,0.009999999776482582
-927.0,-3831.0,-1892.0227272727273,199.5,20,3398,False,8778,44,3,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-41-39,1629132099,16.381434202194214,61.275846004486084,26876,gpu-os03,132.68.52.223,61.275846004486084,8778,3,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",23.671246224300884,21.789924973204716,26.964630225080384,57.40909090909091,41,91,0.0,0,0,34.29545454545455,23,64,0.0,0,0,0.0,0,0,2403.409090909091,1853,3469,0.00042382577152494226,0.0002882675122513693,0.0005396654074473826,199.5,140,294,34.29545454545455,23,64,2403.409090909091,1853,3469,199.5,140,294,23.671246224300884,21.789924973204716,26.964630225080384,57.40909090909091,41,91,17.46128472696691,1.515786521122945,1.4019719179105095,8600,8778,13790.801,40.853,6325.388,221.526,57.3304347826087,38.10000000000001,0.44999998807907104,4.999999873689376e-05,12.997824,-0.058290716,13.07621,0.6798121,0.023934273,3.0865726,0.009999999776482582
-832.0,-3831.0,-1632.296875,184.5,20,3030,False,11808,64,4,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-41-56,1629132116,17.275468349456787,78.55131435394287,26876,gpu-os03,132.68.52.223,78.55131435394287,11808,4,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",23.24407154340836,21.620578778135048,26.964630225080384,53.515625,37,91,0.0,0,0,31.4375,21,64,0.0,0,0,0.0,0,0,2282.9375,1801,3469,0.00044688717597427907,0.0002882675122513693,0.000555247084952804,184.5,125,294,31.4375,21,64,2282.9375,1801,3469,184.5,125,294,23.24407154340836,21.620578778135048,26.964630225080384,53.515625,37,91,17.704155772699448,1.5102260210802092,1.3878667920457066,11600,11808,13065.317,32.331,6331.169,168.423,57.29599999999999,38.1,0.675000011920929,4.999999873689376e-05,6.640385,-0.0651929,6.72091,0.7725571,0.021679778,2.996696,0.009999999776482582
-552.0,-3831.0,-1429.047619047619,171.35714285714286,20,2586,False,14394,84,5,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-42-08,1629132128,11.485846281051636,90.0371606349945,26876,gpu-os03,132.68.52.223,90.0371606349945,14394,5,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",22.875108457102026,20.859592711682744,26.964630225080384,49.916666666666664,32,91,0.0,0,0,29.202380952380953,18,64,0.0,0,0,0.0,0,0,2174.714285714286,1469,3469,0.00047269697649805845,0.0002882675122513693,0.0006807351940095302,171.35714285714286,106,294,29.202380952380953,18,64,2174.714285714286,1469,3469,171.35714285714286,106,294,22.875108457102026,20.859592711682744,26.964630225080384,49.916666666666664,32,91,17.767720701113003,1.511527044854216,1.3780124667899163,14100,14394,11683.645,27.101,6123.378,136.651,63.00625,38.1,1.0125000476837158,4.999999873689376e-05,5.6910005,-0.0712125,5.7725897,0.7353235,0.018592225,2.9200873,0.009999999776482582
-509.0,-3338.0,-1193.69,156.82,20,2313,False,16707,104,6,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-42-20,1629132140,12.062809944152832,102.09997057914734,26876,gpu-os03,132.68.52.223,102.09997057914734,16707,6,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",22.440107181136128,20.707395498392284,26.289389067524116,46.0,31,91,0.0,0,0,26.63,17,60,0.0,0,0,0.0,0,0,2050.1,1433,3237,0.0005016489719702228,0.00030892801977139327,0.0006978367062107466,156.82,106,294,26.63,17,60,2050.1,1433,3237,156.82,106,294,22.440107181136128,20.707395498392284,26.289389067524116,46.0,31,91,17.77967081686224,1.5014758064675744,1.3711679015391127,16400,16707,10937.058,23.477,5905.706,115.781,51.650000000000006,38.1,1.0125000476837158,4.999999873689376e-05,3.9774356,-0.0822879,4.066299,0.7691745,0.021088645,2.7928195,0.009999999776482582
-317.0,-2019.0,-828.58,130.41,24,2456,False,19163,128,7,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-42-34,1629132154,14.475035667419434,116.57500624656677,26876,gpu-os03,132.68.52.223,116.57500624656677,19163,7,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",21.64304394426581,20.083601286173632,23.659163987138264,39.11,24,66,0.0,0,0,22.6,13,43,0.0,0,0,0.0,0,0,1832.95,1247,2645,0.0005573188500791191,0.0003780718336483932,0.0008019246190858059,130.41,82,198,22.6,13,43,1832.95,1247,2645,130.41,82,198,21.64304394426581,20.083601286173632,23.659163987138264,39.11,24,66,17.35582675315841,1.521016349480921,1.360453878647725,18800,19163,10713.639,21.671,5784.905,100.567,47.745000000000005,38.15500000000001,1.5187499523162842,4.999999873689376e-05,2.6735973,-0.07740793,2.7520154,0.8215037,0.017156847,2.7067282,0.009999999776482582
-315.0,-1213.0,-622.58,112.32,27,2560,False,21723,155,8,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-42-45,1629132165,10.59921407699585,127.17422032356262,26876,gpu-os03,132.68.52.223,127.17422032356262,21723,8,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",21.120107181136124,20.04930332261522,22.975348338692392,34.36,24,53,0.0,0,0,19.88,13,28,0.0,0,0,0.0,0,0,1673.06,1247,2229,0.0006074678463580162,0.00044863167339614175,0.0008019246190858059,112.32,79,161,19.88,13,28,1673.06,1247,2229,112.32,79,161,21.120107181136124,20.04930332261522,22.975348338692392,34.36,24,53,17.402106363983865,1.5551676447101992,1.3433718201635516,21300,21723,10031.124,19.805,5724.631,89.083,59.586666666666666,38.14666666666667,1.5187499523162842,4.999999873689376e-05,2.4801755,-0.07138159,2.5533063,0.7946486,0.015968712,2.6001787,0.009999999776482582
-276.0,-802.0,-483.04,98.05,30,2582,False,24305,185,9,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-42-58,1629132178,12.795611143112183,139.9698314666748,26876,gpu-os03,132.68.52.223,139.9698314666748,24305,9,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.65944265809218,19.927116827438372,21.687031082529476,30.62,21,44,0.0,0,0,17.83,12,26,0.0,0,0,0.0,0,0,1552.8,1231,1985,0.0006499252659956788,0.0005037783375314861,0.0008123476848090983,98.05,78,126,17.83,12,26,1552.8,1231,1985,98.05,78,126,20.65944265809218,19.927116827438372,21.687031082529476,30.62,21,44,17.14194100982865,1.5907926653224704,1.332444131270762,23800,24305,9748.271,18.323,5674.239,80.197,57.805263157894736,38.20000000000001,1.5187499523162842,4.999999873689376e-05,2.0524871,-0.06550337,2.1197083,0.8104692,0.015115329,2.4674425,0.009999999776482582
-253.0,-703.0,-402.04,88.82,30,2435,False,26740,215,10,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-43-11,1629132191,13.669522047042847,153.63935351371765,26876,gpu-os03,132.68.52.223,153.63935351371765,26740,10,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.410053590568058,19.558413719185424,21.65058949624866,28.36,21,38,0.0,0,0,16.46,12,23,0.0,0,0,0.0,0,0,1486.3,1095,1771,0.0006779538772929654,0.000564652738565782,0.0009132420091324201,88.82,69,122,16.46,12,23,1486.3,1095,1771,88.82,69,122,20.410053590568058,19.558413719185424,21.65058949624866,28.36,21,38,16.872902076263387,1.6276361311386764,1.325340110729038,26200,26740,9630.907,17.108,5612.836,73.099,52.373684210526314,38.20000000000001,1.5187499523162842,4.999999873689376e-05,1.781506,-0.06837446,1.8519624,0.82892007,0.014015307,2.336805,0.009999999776482582
-218.0,-559.0,-345.49,81.73,30,2213,False,28953,245,11,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-43-21,1629132201,9.77958631515503,163.41893982887268,26876,gpu-os03,132.68.52.223,163.41893982887268,28953,11,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.209260450160773,19.558413719185424,21.421221864951768,26.37,20,36,0.0,0,0,15.42,11,23,0.0,0,0,0.0,0,0,1446.54,1095,1771,0.0006969372834101338,0.000564652738565782,0.0009132420091324201,81.73,65,105,15.42,11,23,1446.54,1095,1771,81.73,65,105,20.209260450160773,19.558413719185424,21.421221864951768,26.37,20,36,16.77390721219109,1.6575070804365095,1.3274553880879532,28400,28953,9412.083,7.531,5460.918,9.51,55.82857142857142,38.199999999999996,1.5187499523162842,4.999999873689376e-05,1.1954429,-0.074899204,1.2692164,0.8349956,0.015095506,2.1800845,0.009999999776482582
-178.0,-506.0,-303.49,76.05,32,2276,False,31229,277,12,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-43-32,1629132212,10.737492799758911,174.1564326286316,26876,gpu-os03,132.68.52.223,174.1564326286316,31229,12,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",20.07682743837085,19.479099678456592,21.421221864951768,24.72,18,33,0.0,0,0,14.57,10,20,0.0,0,0,0.0,0,0,1419.74,1095,1717,0.0007097723952123092,0.0005824111822947001,0.0009132420091324201,76.05,58,103,14.57,10,20,1419.74,1095,1717,76.05,58,103,20.07682743837085,19.479099678456592,21.421221864951768,24.72,18,33,16.637941189091514,1.6880437113646425,1.328956789474078,30600,31229,7556.889,6.907,5330.447,9.586,54.0125,38.2,1.5187499523162842,4.999999873689376e-05,1.0164244,-0.08463799,1.0971901,0.8433855,0.015917845,2.0302908,0.009999999776482582
-169.0,-439.0,-266.9,71.23,34,2295,False,33524,311,13,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-43-42,1629132222,10.247462749481201,184.4038953781128,26876,gpu-os03,132.68.52.223,184.4038953781128,33524,13,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",19.915819935691317,19.211146838156484,20.808145766345124,23.1,18,32,0.0,0,0,13.69,10,18,0.0,0,0,0.0,0,0,1405.8,1153,1717,0.0007156569151582467,0.0005824111822947001,0.0008673026886383347,71.23,54,91,13.69,10,18,1405.8,1153,1717,71.23,54,91,19.915819935691317,19.211146838156484,20.808145766345124,23.1,18,32,16.39825069598316,1.7199348208370646,1.3285385432166774,32800,33524,7169.579,6.115,5105.255,9.558,57.692857142857136,38.199999999999996,1.5187499523162842,4.999999873689376e-05,0.84045446,-0.07565178,0.9160324,0.86212754,0.01253281,1.8960358,0.009999999776482582
-161.0,-396.0,-234.94,66.69,40,2514,False,36038,351,14,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-43-52,1629132232,9.72538161277771,194.1292769908905,26876,gpu-os03,132.68.52.223,194.1292769908905,36038,14,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",19.783043944265806,19.211146838156484,20.808145766345124,21.64,17,28,0.0,0,0,12.81,10,17,0.0,0,0,0.0,0,0,1405.88,1193,1717,0.0007144701299667762,0.0005824111822947001,0.0008382229673093043,66.69,54,91,12.81,10,17,1405.88,1193,1717,66.69,54,91,19.783043944265806,19.211146838156484,20.808145766345124,21.64,17,28,15.946061012232192,1.7484841096378911,1.3274073441158039,35300,36038,6526.242,5.93,4993.817,9.8,62.24285714285713,38.199999999999996,1.5187499523162842,4.999999873689376e-05,0.60891765,-0.075822875,0.6784106,0.87514234,0.015490707,1.7196552,0.009999999776482582
-155.0,-310.0,-209.22,62.66,40,2393,False,38431,391,15,194b885942bb4c58ae11ef56420ba5fc,2021-08-16_16-44-01,1629132241,8.755500793457031,202.88477778434753,26876,gpu-os03,132.68.52.223,202.88477778434753,38431,15,10,a8300f26,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",19.648424437299035,19.224008574490888,20.606645230439444,20.5,17,28,0.0,0,0,12.14,10,17,0.0,0,0,0.0,0,0,1391.2,1139,1647,0.0007220545986287751,0.0006071645415907711,0.000877963125548727,62.66,54,79,12.14,10,17,1391.2,1139,1647,62.66,54,79,19.648424437299035,19.224008574490888,20.606645230439444,20.5,17,28,15.759878169731032,1.7807555638730357,1.3386245852294598,37600,38431,6298.197,5.88,4949.036,9.834,63.56153846153847,38.199999999999996,1.5187499523162842,4.999999873689376e-05,0.46063018,-0.060190324,0.52033573,0.8919286,0.011002812,1.6225661,0.009999999776482582
