episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-2816.0,-11885.0,-9299.375,871.5,8,6972,False,6972,8,1,7520556294b4413888246d111292a5de,2021-08-16_09-08-44,1629104924,28.917131185531616,28.917131185531616,3772,gpu-os03,132.68.52.223,28.917131185531616,6972,1,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",96.83708467309754,30.606645230439444,197.71704180064307,76.625,36,101,12.125,0,43,76.625,36,101,74.75,0,218,587.0,0,932,7217.125,2857,9670,0.0,0.0,0.0,871.5,270,1001,nan,36,47,nan,2857,6969,nan,270,696,nan,30.606645230439444,72.57663451232582,nan,36,47,8.256022066128063,1.3925909101468483,1.3221656899095073,6900,6972,13411.88,103.663,14661.357,639.939,47.69761904761905,35.37380952380953,0.20000000298023224,4.999999873689376e-05,204.98154,-0.05977722,205.06639,0.113096274,0.03388078,3.1850863,0.009999999776482582
-2816.0,-12507.0,-7962.0,751.375,8,5050,False,12022,16,2,7520556294b4413888246d111292a5de,2021-08-16_09-09-08,1629104948,24.39494800567627,53.312079191207886,3772,gpu-os03,132.68.52.223,53.312079191207886,12022,2,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",83.90862808145766,30.606645230439444,197.71704180064307,66.5,36,101,7.5625,0,43,66.5,36,101,65.375,0,314,399.0,0,932,6625.625,2853,10474,0.0,0.0,0.0,751.375,270,1001,nan,36,59,nan,2853,6969,nan,270,696,nan,30.606645230439444,72.57663451232582,nan,36,59,9.340163572557792,1.3375239770596064,1.2944765409459937,11900,12022,13801.466,56.554,12414.373,323.882,48.634285714285724,35.54285714285713,0.30000001192092896,4.999999873689376e-05,78.91209,-0.05803937,78.99377,0.47506723,0.02587097,3.1402552,0.009999999776482582
-2002.0,-12507.0,-6741.625,683.25,8,4376,False,16398,24,3,7520556294b4413888246d111292a5de,2021-08-16_09-09-35,1629104975,27.32444667816162,80.6365258693695,3772,gpu-os03,132.68.52.223,80.6365258693695,16398,3,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",78.84458735262594,26.19506966773848,197.71704180064307,57.5,30,101,5.041666666666667,0,43,57.5,30,101,49.875,0,314,309.25,0,932,6366.791666666667,2599,11026,0.0,0.0,0.0,683.25,225,1001,nan,30,59,nan,2599,10515,nan,225,968,nan,26.19506966773848,106.19506966773848,nan,30,59,9.688707587360721,1.3139559971313097,1.2679452465831895,16200,16398,15389.467,40.296,11183.439,218.86,37.94871794871795,35.59999999999999,0.44999998807907104,4.999999873689376e-05,16.937685,-0.06916247,17.025595,0.68311584,0.026987098,3.0892472,0.009999999776482582
-1074.0,-12507.0,-5294.4857142857145,563.9142857142857,11,3339,False,19737,35,4,7520556294b4413888246d111292a5de,2021-08-16_09-09-51,1629104991,15.823737144470215,96.46026301383972,3772,gpu-os03,132.68.52.223,96.46026301383972,19737,4,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",67.221681212678,26.19506966773848,197.71704180064307,49.142857142857146,21,101,3.4571428571428573,0,43,49.142857142857146,21,101,34.2,0,314,212.05714285714285,0,932,5530.114285714286,2123,11026,0.0,0.0,0.0,563.9142857142857,167,1001,nan,21,59,nan,2123,10515,nan,167,968,nan,26.19506966773848,106.19506966773848,nan,21,59,9.884563303143953,1.2778550921631004,1.2490349686248348,19500,19737,13815.841,31.657,10060.567,165.962,49.55454545454547,35.60000000000001,0.675000011920929,4.999999873689376e-05,9.499002,-0.07650472,9.590323,0.74194497,0.023012461,3.0350926,0.009999999776482582
-732.0,-12507.0,-4229.0625,471.5,13,2895,False,22632,48,5,7520556294b4413888246d111292a5de,2021-08-16_09-10-09,1629105009,17.417916297912598,113.87817931175232,3772,gpu-os03,132.68.52.223,113.87817931175232,22632,5,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",58.79934798142193,25.043944265809216,197.71704180064307,42.625,19,101,2.5208333333333335,0,43,42.625,19,101,24.9375,0,314,154.625,0,932,4795.520833333333,1781,11026,0.0,0.0,0.0,471.5,145,1001,nan,19,59,nan,1781,10515,nan,145,968,nan,25.043944265809216,106.19506966773848,nan,19,59,10.32516939050659,1.266184192174543,1.2401701079434362,22300,22632,13397.985,26.312,9181.023,134.264,42.72,35.6,1.0125000476837158,4.999999873689376e-05,7.1814656,-0.07895718,7.2699537,0.7290774,0.019705491,2.9482799,0.009999999776482582
-679.0,-12507.0,-3641.5081967213114,425.8688524590164,13,3346,False,25978,61,6,7520556294b4413888246d111292a5de,2021-08-16_09-10-26,1629105026,17.592750787734985,131.4709300994873,3772,gpu-os03,132.68.52.223,131.4709300994873,25978,6,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",55.33357932282607,24.370846730975348,197.71704180064307,38.77049180327869,17,101,1.9836065573770492,0,43,38.77049180327869,17,101,19.62295081967213,0,314,121.67213114754098,0,932,4503.672131147541,1779,11026,0.0,0.0,0.0,425.8688524590164,135,1001,nan,17,59,nan,1779,10515,nan,135,968,nan,24.370846730975348,106.19506966773848,nan,17,59,10.632270901396875,1.2522619093483967,1.2355217512499443,25600,25978,12979.716,22.862,8762.495,113.121,50.34,35.6,1.0125000476837158,4.999999873689376e-05,5.7768297,-0.08054446,5.865898,0.7570104,0.0195417,2.8310769,0.009999999776482582
-466.0,-12507.0,-3098.4666666666667,374.44,14,2105,False,28083,75,7,7520556294b4413888246d111292a5de,2021-08-16_09-10-39,1629105039,12.617426633834839,144.08835673332214,3772,gpu-os03,132.68.52.223,144.08835673332214,28083,7,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",50.711768488745975,24.370846730975348,197.71704180064307,35.42666666666667,16,101,1.6133333333333333,0,43,35.42666666666667,16,101,15.96,0,314,98.96,0,932,4058.4533333333334,1633,11026,0.0,0.0,0.0,374.44,110,1001,nan,16,59,nan,1633,10515,nan,110,968,nan,24.370846730975348,106.19506966773848,nan,16,59,10.85402761578345,1.2317475054080613,1.2313578530306075,27700,28083,12312.541,20.276,8121.046,98.017,44.400000000000006,35.6,1.0125000476837158,4.999999873689376e-05,3.5059407,-0.07775583,3.5928824,0.8019513,0.018522218,2.79394,0.009999999776482582
-466.0,-12507.0,-2697.3444444444444,336.34444444444443,15,2188,False,30271,90,8,7520556294b4413888246d111292a5de,2021-08-16_09-10-54,1629105054,14.815792560577393,158.90414929389954,3772,gpu-os03,132.68.52.223,158.90414929389954,30271,8,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",47.19702274621889,23.414790996784564,197.71704180064307,32.94444444444444,16,101,1.3444444444444446,0,43,32.94444444444444,16,101,13.3,0,314,82.46666666666667,0,932,3752.188888888889,1603,11026,0.0,0.0,0.0,336.34444444444443,106,1001,nan,16,59,nan,1603,10515,nan,106,968,nan,23.414790996784564,106.19506966773848,nan,16,59,11.061663719669355,1.2210557709916816,1.2272659142088915,29800,30271,12090.514,18.228,7636.45,86.667,41.7,35.60000000000001,1.0125000476837158,4.999999873689376e-05,2.9020429,-0.08906648,2.9975722,0.8127675,0.019864712,2.6576138,0.009999999776482582
-336.0,-12507.0,-1789.98,254.11,17,1842,False,32113,107,9,7520556294b4413888246d111292a5de,2021-08-16_09-11-03,1629105063,9.04940938949585,167.95355868339539,3772,gpu-os03,132.68.52.223,167.95355868339539,32113,9,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",39.44015005359057,23.414790996784564,160.5058949624866,26.91,13,101,0.24,0,24,26.91,13,101,5.99,0,314,27.26,0,754,3124.46,1389,11026,0.0,0.0,0.0,254.11,93,1001,nan,13,59,nan,1389,10515,nan,93,968,nan,23.414790996784564,106.19506966773848,nan,13,59,11.637437293468608,1.1946248841247509,1.2172233075203618,31600,32113,11342.031,16.532,7194.464,77.831,53.34615384615385,35.60000000000001,1.0125000476837158,4.999999873689376e-05,2.3223166,-0.07668337,2.406749,0.82598186,0.017304271,2.5269432,0.009999999776482582
-292.0,-4758.0,-964.5,176.9,17,1975,False,34088,124,10,7520556294b4413888246d111292a5de,2021-08-16_09-11-14,1629105074,10.90123462677002,178.8547933101654,3772,gpu-os03,132.68.52.223,178.8547933101654,34088,10,8,76a1acc4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",32.93146838156484,22.881028938906752,79.86066452304395,21.76,13,38,0.0,0,0,21.76,13,38,0.0,0,0,0.0,0,0,2479.92,1389,7915,0.0,0.0,0.0,176.9,86,650,21.76,13,38,2479.92,1389,7915,176.9,86,650,32.93146838156484,22.881028938906752,79.86066452304395,21.76,13,38,11.949406378904804,1.170188761774806,1.2095978897707178,33500,34088,10911.571,15.209,6858.169,70.786,44.64666666666667,35.60000000000001,1.0125000476837158,4.999999873689376e-05,1.655296,-0.07913365,1.7356133,0.84349954,0.022454556,2.3918946,0.009999999776482582
