episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-14992.0,-14992.0,-14992.0,1001.0,1,1001,False,1001,1,1,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-01-46,1623931306,21.44884419441223,21.44884419441223,5290,gpu-os03,132.68.52.223,21.44884419441223,1001,1,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",76.96677384780278,76.96677384780278,76.96677384780278,70.0,70,70,0.0,0,0,70.0,70,70,33.0,33,33,766.0,766,766,10275.0,10275,10275,0.0,0.0,0.0,1001.0,1001,1001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.934271540232523,3.302170368963611,1.3174044633815865,1000,1001,18607.684,92.357,2690.124,0.006,14.848275862068965,27.74137931034482,0.20000000298023224,4.999999873689376e-05,205.69449,-0.046703603,205.76755,0.00035158396,0.027797237,3.1916318,0.009999999776482582
-10181.0,-14992.0,-12586.5,1001.0,1,1001,False,2002,2,2,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-02-08,1623931328,22.36492896080017,43.8137731552124,5290,gpu-os03,132.68.52.223,43.8137731552124,2002,2,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",91.55734190782422,76.96677384780278,106.14790996784566,61.5,53,70,0.0,0,0,61.5,53,70,41.0,33,49,737.5,709,766,10766.0,10275,11257,0.0,0.0,0.0,1001.0,1001,1001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.927037967372744,2.7493000205262312,1.302386866005648,2000,2002,19447.636,48.093,2379.727,0.005,14.929032258064515,27.858064516129023,0.30000001192092896,4.999999873689376e-05,78.707535,-0.055267762,78.78591,0.16945417,0.02754641,3.1386447,0.009999999776482582
-1392.0,-14992.0,-8709.5,798.25,2,1191,False,3193,4,3,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-02-28,1623931348,19.471834897994995,63.2856080532074,5290,gpu-os03,132.68.52.223,63.2856080532074,3193,3,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",79.30493033226152,27.732047159699892,106.37299035369774,48.0,30,70,0.0,0,0,48.0,30,70,32.0,0,49,527.0,0,766,8928.25,2221,11960,0.0,0.0,0.0,798.25,190,1001,nan,30,30,nan,2221,2221,nan,190,190,nan,27.732047159699892,27.732047159699892,nan,30,30,14.71275244063421,2.2622776775749256,1.2826361942299487,3100,3193,18686.487,32.998,2353.381,0.004,15.638461538461538,27.899999999999995,0.44999998807907104,4.999999873689376e-05,26.673584,-0.067188896,26.761406,0.41557607,0.022378994,3.0702813,0.009999999776482582
-1392.0,-14992.0,-6186.714285714285,633.1428571428571,3,1239,False,4432,7,4,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-02-53,1623931373,25.329198837280273,88.61480689048767,5290,gpu-os03,132.68.52.223,88.61480689048767,4432,4,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",68.72301332108405,27.732047159699892,106.37299035369774,39.857142857142854,25,70,0.0,0,0,39.857142857142854,25,70,18.285714285714285,0,49,301.14285714285717,0,766,7321.714285714285,2221,11960,0.0,0.0,0.0,633.1428571428571,190,1001,nan,25,32,nan,2221,8547,nan,190,669,nan,27.732047159699892,84.27009646302251,nan,25,32,14.834479508032343,1.967769247486346,1.253063034962128,4300,4432,19727.388,25.386,2382.567,0.004,15.415151515151514,27.9,0.675000011920929,4.999999873689376e-05,14.631305,-0.07962918,14.725769,0.5300466,0.022748088,3.018935,0.009999999776482582
-871.0,-14992.0,-4568.181818181818,544.3636363636364,4,1556,False,5988,11,5,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-03-14,1623931394,20.931272745132446,109.54607963562012,5290,gpu-os03,132.68.52.223,109.54607963562012,5988,5,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",70.05027769657995,27.084673097534832,198.53590568060022,35.0,18,70,0.0,0,0,35.0,18,70,23.272727272727273,0,128,275.1818181818182,0,919,6214.727272727273,2093,11960,0.0,0.0,0.0,544.3636363636364,178,1001,nan,18,32,nan,2093,8547,nan,178,669,nan,27.084673097534832,84.27009646302251,nan,18,32,14.354991014692125,1.7766082366170883,1.2255439627047522,5800,5988,19345.564,20.845,2527.014,0.004,19.51034482758621,27.89999999999999,1.0125000476837158,4.999999873689376e-05,11.93584,-0.08141164,12.025657,0.5550525,0.020589573,2.925348,0.009999999776482582
-871.0,-14992.0,-3532.0625,442.375,5,1090,False,7078,16,6,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-03-36,1623931416,22.42001175880432,131.96609139442444,5290,gpu-os03,132.68.52.223,131.96609139442444,7078,6,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",59.26031618435155,26.010718113612004,198.53590568060022,31.625,18,70,0.0,0,0,31.625,18,70,16.0,0,128,189.1875,0,919,5210.6875,2033,11960,0.0,0.0,0.0,442.375,151,1001,nan,18,32,nan,2033,8547,nan,151,669,nan,26.010718113612004,84.27009646302251,nan,18,32,14.229395274243275,1.6602496977018644,1.2057985177188342,6800,7078,19509.236,17.844,2453.031,0.004,14.26666666666667,27.89999999999999,1.5187499523162842,4.999999873689376e-05,7.6602907,-0.06799061,7.7378855,0.684688,0.012553304,2.8669236,0.009999999776482582
-871.0,-14992.0,-3241.9,429.15,4,1505,False,8583,20,7,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-04-07,1623931447,30.718040227890015,162.68413162231445,5290,gpu-os03,132.68.52.223,162.68413162231445,8583,7,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",59.09935691318327,26.010718113612004,198.53590568060022,30.15,18,70,0.0,0,0,30.15,18,70,12.8,0,128,151.35,0,919,5224.45,2033,11960,0.0,0.0,0.0,429.15,151,1001,nan,18,32,nan,2033,8707,nan,151,669,nan,26.010718113612004,98.59807073954984,nan,18,32,14.252333311938164,1.5969205720833604,1.1943279625295755,8300,8583,20665.496,15.721,2546.2,0.004,15.714634146341465,27.900000000000002,1.5187499523162842,4.999999873689376e-05,5.524335,-0.07645654,5.6049027,0.732127,0.01562816,2.784626,0.009999999776482582
-713.0,-14992.0,-3056.75,427.4166666666667,4,1675,False,10258,24,8,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-04-41,1623931481,33.714969635009766,196.39910125732422,5290,gpu-os03,132.68.52.223,196.39910125732422,10258,8,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",62.601018220793144,26.010718113612004,198.53590568060022,29.625,18,70,0.0,0,0,29.625,18,70,18.291666666666668,0,183,162.04166666666666,0,919,5309.666666666667,2033,12946,0.0,0.0,0.0,427.4166666666667,148,1001,nan,18,32,nan,2033,8707,nan,148,669,nan,26.010718113612004,98.59807073954984,nan,18,32,14.310408123846889,1.5467553154419231,1.1875295372957941,9900,10258,21885.502,14.173,2637.807,0.004,15.18913043478261,27.900000000000013,1.5187499523162842,4.999999873689376e-05,7.682666,-0.054036837,7.7467246,0.6733991,0.010957878,2.6663718,0.009999999776482582
-713.0,-14992.0,-2647.133333333333,377.06666666666666,6,1054,False,11312,30,9,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-05-08,1623931508,27.495809078216553,223.89491033554077,5290,gpu-os03,132.68.52.223,223.89491033554077,11312,9,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",56.61500535905681,25.408360128617364,198.53590568060022,28.766666666666666,18,70,0.0,0,0,28.766666666666666,18,70,14.633333333333333,0,183,129.63333333333333,0,919,4763.933333333333,1873,12946,0.0,0.0,0.0,377.06666666666666,133,1001,nan,18,35,nan,1873,8707,nan,133,669,nan,25.408360128617364,98.59807073954984,nan,18,35,14.50582551441826,1.4918676073107866,1.1794987408930502,10900,11312,22278.341,12.881,2574.078,0.004,14.372222222222222,27.899999999999995,1.5187499523162842,4.999999873689376e-05,8.461763,-0.079679914,8.550638,0.70083183,0.011743894,2.703179,0.009999999776482582
-614.0,-14992.0,-2555.212121212121,374.3030303030303,3,1040,False,12352,33,10,6ca7fd2e5b62404f874d53173357e095,2021-06-17_12-05-31,1623931531,22.728588342666626,246.6234986782074,5290,gpu-os03,132.68.52.223,246.6234986782074,12352,10,0,b6c63294,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",57.657929780116284,25.408360128617364,198.53590568060022,28.09090909090909,18,70,0.0,0,0,28.09090909090909,18,70,13.303030303030303,0,183,117.84848484848484,0,919,4842.818181818182,1873,12946,0.0,0.0,0.0,374.3030303030303,133,1001,nan,18,35,nan,1873,9705,nan,133,669,nan,25.408360128617364,119.63344051446946,nan,18,35,14.594071164217237,1.4701212994340325,1.1775245430609464,11900,12352,22115.818,11.825,2523.227,0.004,14.422580645161288,27.89999999999999,1.5187499523162842,4.999999873689376e-05,2.9403033,-0.08294448,3.0295243,0.79528165,0.012589107,2.5396373,0.009999999776482582
