episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-4457.0,-16564.0,-11880.25,907.75,8,7262,False,7262,8,1,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-47-30,1629121650,31.56518054008484,31.56518054008484,8768,gpu-os03,132.68.52.223,31.56518054008484,7262,1,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",120.46677384780278,59.30975348338692,179.63129689174704,97.375,37,156,0.0,0,0,97.375,37,156,105.125,0,195,529.75,0,923,7391.75,5467,10231,0.0,0.0,0.0,907.75,527,1001,nan,37,63,nan,5467,8105,nan,527,729,nan,59.30975348338692,69.05037513397642,nan,37,63,8.207421753795341,1.5270755917858172,1.2044010271462315,7200,7262,15144.333,117.131,15482.878,713.272,49.11956521739131,37.09565217391304,0.20000000298023224,4.999999873689376e-05,446.5558,-0.0680705,446.6491,0.06190576,0.033062298,3.185364,0.009999999776482582
-4457.0,-16564.0,-10293.375,895.4375,8,7065,False,14327,16,2,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-48-03,1629121683,32.97518348693848,64.54036402702332,8768,gpu-os03,132.68.52.223,64.54036402702332,14327,2,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",107.59030010718114,59.30975348338692,179.63129689174704,76.125,37,156,0.0,0,0,76.125,37,156,66.5,0,195,470.0625,0,932,8302.0,5467,11085,0.0,0.0,0.0,895.4375,527,1001,nan,37,63,nan,5467,10351,nan,527,905,nan,59.30975348338692,94.89389067524115,nan,37,63,9.128307746607138,1.4316168950911266,1.1861028808218346,14200,14327,16809.875,68.73,14966.425,360.917,50.455319148936184,37.31702127659575,0.30000001192092896,4.999999873689376e-05,56.741947,-0.058627155,56.82361,0.50124454,0.027845422,3.138874,0.009999999776482582
-1338.0,-16564.0,-7892.346153846154,752.8846153846154,10,5248,False,19575,26,3,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-48-32,1629121712,29.29393458366394,93.83429861068726,8768,gpu-os03,132.68.52.223,93.83429861068726,19575,3,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",93.41017396322863,25.980707395498392,187.39549839228295,61.26923076923077,29,156,0.0,0,0,61.26923076923077,29,156,47.88461538461539,0,195,344.9230769230769,0,932,7407.576923076923,2049,11793,0.0,0.0,0.0,752.8846153846154,178,1001,nan,29,63,nan,2049,10351,nan,178,905,nan,25.980707395498392,99.95712754555198,nan,29,63,9.976175448332045,1.3678986391624761,1.1854110812334566,19400,19575,17410.225,48.89,13523.762,244.055,43.34047619047618,37.392857142857146,0.44999998807907104,4.999999873689376e-05,18.48865,-0.06897481,18.5759,0.6408872,0.027366418,3.0590384,0.009999999776482582
-1216.0,-16564.0,-6947.441176470588,717.8235294117648,8,4831,False,24406,34,4,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-49-05,1629121745,32.21666121482849,126.05095982551575,8768,gpu-os03,132.68.52.223,126.05095982551575,24406,4,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",91.67152134165565,25.980707395498392,187.39549839228295,53.61764705882353,22,156,0.0,0,0,53.61764705882353,22,156,38.05882352941177,0,195,284.20588235294116,0,932,7570.735294117647,2049,14187,0.0,0.0,0.0,717.8235294117648,178,1001,nan,22,63,nan,2049,10351,nan,178,905,nan,25.980707395498392,106.66881028938907,nan,22,63,10.417032205877554,1.3407288577353664,1.1842084895570089,24200,24406,18621.659,39.709,12620.896,185.016,43.33478260869565,37.40000000000001,0.675000011920929,4.999999873689376e-05,8.659818,-0.075811036,8.748669,0.6826868,0.02422922,2.9394772,0.009999999776482582
-1116.0,-16564.0,-5874.7441860465115,633.6744186046511,9,2842,False,27248,43,5,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-49-20,1629121760,15.787790775299072,141.83875060081482,8768,gpu-os03,132.68.52.223,141.83875060081482,27248,5,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",83.25810713128443,25.980707395498392,187.39549839228295,47.97674418604651,22,156,0.0,0,0,47.97674418604651,22,156,30.093023255813954,0,195,224.72093023255815,0,932,6908.418604651163,2049,14187,0.0,0.0,0.0,633.6744186046511,178,1001,nan,22,63,nan,2049,10351,nan,178,905,nan,25.980707395498392,106.66881028938907,nan,22,63,10.752866782821009,1.316699463070865,1.1825327184787504,27000,27248,16888.274,33.555,11255.755,149.544,48.74090909090909,37.39999999999999,1.0125000476837158,4.999999873689376e-05,5.713112,-0.083501525,5.8049235,0.7663399,0.019895842,2.8453834,0.009999999776482582
-636.0,-16564.0,-5030.814814814815,574.4629629629629,11,3773,False,31021,54,6,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-49-45,1629121785,24.364559412002563,166.20331001281738,8768,gpu-os03,132.68.52.223,166.20331001281738,31021,6,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",78.63665594855304,22.979635584137192,187.39549839228295,42.592592592592595,17,156,0.0,0,0,42.592592592592595,17,156,23.962962962962962,0,195,178.94444444444446,0,932,6562.833333333333,1865,14187,0.0,0.0,0.0,574.4629629629629,124,1001,nan,17,63,nan,1865,12981,nan,124,905,nan,22.979635584137192,138.95605573419078,nan,17,63,11.18979115756778,1.2958677280823865,1.1818413511818635,30700,31021,16848.014,28.924,10659.577,125.902,42.46,37.400000000000006,1.0125000476837158,4.999999873689376e-05,3.8032265,-0.08248848,3.891908,0.76240504,0.02068848,2.714035,0.009999999776482582
-593.0,-16564.0,-4372.846153846154,518.8307692307692,11,2703,False,33724,65,7,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-50-00,1629121800,15.423319101333618,181.626629114151,8768,gpu-os03,132.68.52.223,181.626629114151,33724,7,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",73.46330282793305,22.979635584137192,187.39549839228295,38.784615384615385,17,156,0.0,0,0,38.784615384615385,17,156,19.907692307692308,0,195,148.66153846153847,0,932,6122.184615384615,1865,14187,0.0,0.0,0.0,518.8307692307692,123,1001,nan,17,63,nan,1865,12981,nan,123,905,nan,22.979635584137192,138.95605573419078,nan,17,63,11.502386030411373,1.2867093654965474,1.1822464755426267,33400,33724,15846.859,25.39,9929.373,109.117,47.28181818181818,37.39999999999999,1.5187499523162842,4.999999873689376e-05,2.786075,-0.083281934,2.8722935,0.7952241,0.015189076,2.6004689,0.009999999776482582
-485.0,-16564.0,-3850.3797468354433,485.26582278481015,14,4612,False,38336,79,8,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-50-33,1629121833,33.246439933776855,214.87306904792786,8768,gpu-os03,132.68.52.223,214.87306904792786,38336,8,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",72.33082339533557,22.887459807073956,210.04287245444803,35.21518987341772,15,156,0.0,0,0,35.21518987341772,15,156,16.696202531645568,0,195,128.26582278481013,0,932,6033.772151898735,1755,17767,0.0,0.0,0.0,485.26582278481015,109,1001,nan,15,63,nan,1755,12981,nan,109,905,nan,22.887459807073956,138.95605573419078,nan,15,63,11.900288815616078,1.27334052855047,1.1834811771604938,38000,38336,16829.469,23.359,9874.858,96.455,39.1936170212766,37.43829787234042,1.5187499523162842,4.999999873689376e-05,2.2012365,-0.07461554,2.277416,0.80590093,0.014958738,2.428251,0.009999999776482582
-404.0,-16564.0,-3437.4891304347825,447.94565217391306,13,2875,False,41211,92,9,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-50-51,1629121851,17.894768476486206,232.76783752441406,8768,gpu-os03,132.68.52.223,232.76783752441406,41211,9,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",68.87473787222144,22.887459807073956,210.04287245444803,32.90217391304348,14,156,0.0,0,0,32.90217391304348,14,156,14.33695652173913,0,195,110.1413043478261,0,932,5713.771739130435,1601,17767,0.0,0.0,0.0,447.94565217391306,99,1001,nan,14,63,nan,1601,12981,nan,99,905,nan,22.887459807073956,138.95605573419078,nan,14,63,12.137241435839016,1.2598601121517852,1.1838184652176114,40800,41211,16302.871,21.307,9418.547,86.638,42.74230769230769,37.5,1.5187499523162842,4.999999873689376e-05,2.2806084,-0.07014583,2.3523996,0.8014642,0.014433409,2.356583,0.009999999776482582
-307.0,-16564.0,-2469.45,372.87,15,2337,False,43548,107,10,1a9fc34f5bb8467fa78dd269ed52129e,2021-08-16_13-51-03,1629121863,11.45739221572876,244.22522974014282,8768,gpu-os03,132.68.52.223,244.22522974014282,43548,10,8,6610cc42,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",60.79039657020365,22.342979635584136,210.04287245444803,26.48,14,156,0.0,0,0,26.48,14,156,6.4,0,162,67.16,0,932,5170.55,1461,17767,0.0,0.0,0.0,372.87,89,1001,nan,14,50,nan,1461,12981,nan,89,905,nan,22.342979635584136,138.95605573419078,nan,14,50,12.633324578332786,1.229244361626759,1.181702292358822,43100,43548,15335.04,19.595,8956.224,78.725,48.84375,37.5,1.5187499523162842,4.999999873689376e-05,1.6204202,-0.090748206,1.711032,0.8210123,0.014945279,2.2561648,0.009999999776482582
