episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-6181.0,-14906.0,-11643.375,971.875,8,7775,False,7775,8,1,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-49-36,1629107376,34.49737024307251,34.49737024307251,32689,gpu-os03,132.68.52.223,34.49737024307251,7775,1,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",99.81725616291533,72.07502679528403,166.43301178992496,81.25,37,101,19.625,0,94,81.25,37,101,93.25,0,229,572.625,0,881,8151.875,6113,9835,0.0,0.0,0.0,971.875,768,1001,nan,37,37,nan,7645,7645,nan,768,768,nan,72.07502679528403,72.07502679528403,nan,37,37,8.42836716143494,1.51460377264018,1.2080870010580964,7700,7775,17243.278,117.371,16299.69,737.219,48.25,36.598,0.20000000298023224,4.999999873689376e-05,214.26283,-0.05675117,214.34464,0.1306835,0.033896144,3.1841063,0.009999999776482582
-4345.0,-14906.0,-9905.625,955.1875,8,7508,False,15283,16,2,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-50-20,1629107420,43.39871859550476,77.89608883857727,32689,gpu-os03,132.68.52.223,77.89608883857727,15283,2,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",105.90889603429795,68.2422293676313,214.66666666666666,67.0,37,101,9.8125,0,94,67.0,37,101,70.125,0,229,539.5,0,881,9008.625,6113,11997,0.0,0.0,0.0,955.1875,585,1001,nan,37,53,nan,6669,10397,nan,585,917,nan,68.2422293676313,105.69560557341907,nan,37,53,9.30830086686941,1.4619291731241142,1.1867320878688343,15200,15283,22644.637,67.31,15802.307,372.601,41.20967741935484,36.833870967741944,0.30000001192092896,4.999999873689376e-05,46.26486,-0.062277876,46.349712,0.463504,0.029018272,3.1284418,0.009999999776482582
-1782.0,-14906.0,-7896.041666666667,810.5833333333334,8,4171,False,19454,24,3,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-50-42,1629107442,22.438974618911743,100.33506345748901,32689,gpu-os03,132.68.52.223,100.33506345748901,19454,3,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",92.16202215076812,30.407288317256164,214.66666666666666,56.666666666666664,31,101,6.541666666666667,0,94,56.666666666666664,31,101,47.666666666666664,0,229,385.9166666666667,0,881,8170.125,2573,12388,0.0,0.0,0.0,810.5833333333334,221,1001,nan,31,53,nan,2573,10991,nan,221,917,nan,30.407288317256164,108.47374062165059,nan,31,53,9.873362699801554,1.4249168104452137,1.1796072029278213,19300,19454,19774.048,47.409,13325.265,251.039,46.503125,36.9,0.44999998807907104,4.999999873689376e-05,12.995515,-0.07418898,13.088757,0.6816123,0.025562866,3.055699,0.009999999776482582
-1408.0,-14906.0,-6516.3125,690.0,8,2626,False,22080,32,4,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-51-05,1629107465,23.230536460876465,123.56559991836548,32689,gpu-os03,132.68.52.223,123.56559991836548,22080,4,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",80.17242765273312,28.911039657020364,214.66666666666666,50.40625,27,101,4.90625,0,94,50.40625,27,101,35.75,0,229,289.4375,0,881,7173.40625,2507,12388,0.0,0.0,0.0,690.0,209,1001,nan,27,53,nan,2507,10991,nan,209,917,nan,28.911039657020364,108.47374062165059,nan,27,53,10.379509341497993,1.3995384164948013,1.1768745919997068,21900,22080,19307.851,36.484,11316.769,190.196,34.68484848484848,36.9,0.675000011920929,4.999999873689376e-05,10.757255,-0.07582593,10.846319,0.73028505,0.024400631,2.9709933,0.009999999776482582
-562.0,-14906.0,-5092.533333333334,573.4888888888889,13,3727,False,25807,45,5,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-51-25,1629107485,19.288002967834473,142.85360288619995,32689,gpu-os03,132.68.52.223,142.85360288619995,25807,5,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",70.45235203048709,25.384780278670952,214.66666666666666,42.82222222222222,19,101,3.488888888888889,0,94,42.82222222222222,19,101,25.42222222222222,0,229,205.82222222222222,0,881,6249.644444444444,1953,12388,0.0,0.0,0.0,573.4888888888889,117,1001,nan,19,53,nan,1953,10991,nan,117,917,nan,25.384780278670952,114.12647374062165,nan,19,53,11.018233518845253,1.353103275125468,1.1726331352904704,25600,25807,17782.595,30.264,10567.814,153.744,50.67142857142858,36.89999999999999,1.0125000476837158,4.999999873689376e-05,5.7855635,-0.076723896,5.8699765,0.72183514,0.020704072,2.8651955,0.009999999776482582
-562.0,-14906.0,-4259.877192982456,498.36842105263156,12,2600,False,28407,57,6,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-51-47,1629107507,22.034847497940063,164.88845038414001,32689,gpu-os03,132.68.52.223,164.88845038414001,28407,6,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",63.40745755062899,25.384780278670952,214.66666666666666,38.89473684210526,18,101,2.754385964912281,0,94,38.89473684210526,18,101,20.07017543859649,0,229,162.49122807017545,0,881,5594.736842105263,1953,12388,0.0,0.0,0.0,498.36842105263156,117,1001,nan,18,53,nan,1953,10991,nan,117,917,nan,25.384780278670952,114.12647374062165,nan,18,53,11.552194432454096,1.3246793124471234,1.1728292141103713,28200,28407,17599.554,25.927,9692.842,129.361,35.41935483870968,36.900000000000006,1.5187499523162842,4.999999873689376e-05,5.6360455,-0.07429914,5.7169347,0.74942535,0.014086096,2.798308,0.009999999776482582
-562.0,-14906.0,-3842.985294117647,471.88235294117646,11,3681,False,32088,68,7,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-52-22,1629107542,35.54796552658081,200.43641591072083,32689,gpu-os03,132.68.52.223,200.43641591072083,32088,7,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",62.90164554567808,24.836012861736336,214.66666666666666,36.279411764705884,18,101,2.3088235294117645,0,94,36.279411764705884,18,101,16.955882352941178,0,229,138.0,0,881,5539.89705882353,1831,15985,0.0,0.0,0.0,471.88235294117646,117,1001,nan,18,53,nan,1831,10991,nan,117,917,nan,24.836012861736336,114.12647374062165,nan,18,53,11.966281042396709,1.3054370659907188,1.1737025892198987,31800,32088,19104.48,23.268,9361.384,111.913,31.70196078431373,36.900000000000006,1.5187499523162842,4.999999873689376e-05,3.4595976,-0.06846535,3.5314128,0.7912234,0.015175366,2.6396763,0.009999999776482582
-392.0,-14906.0,-3305.879518072289,422.3734939759036,15,2969,False,35057,83,8,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-52-44,1629107564,22.094459533691406,222.53087544441223,32689,gpu-os03,132.68.52.223,222.53087544441223,35057,8,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",59.1345187825256,24.670953912111468,214.66666666666666,33.08433734939759,14,101,1.891566265060241,0,94,33.08433734939759,14,101,13.891566265060241,0,229,113.06024096385542,0,881,5114.457831325301,1539,15985,0.0,0.0,0.0,422.3734939759036,102,1001,nan,14,53,nan,1539,10991,nan,102,917,nan,24.670953912111468,126.27867095391211,nan,14,53,12.42461561721674,1.291462752611664,1.1753644239919798,34700,35057,18729.834,20.96,8935.29,98.886,46.10322580645161,36.900000000000006,1.5187499523162842,4.999999873689376e-05,2.4550192,-0.07659364,2.534431,0.8041394,0.014842801,2.5360765,0.009999999776482582
-370.0,-14906.0,-2855.868686868687,374.55555555555554,16,2024,False,37081,99,9,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-53-05,1629107585,20.189115047454834,242.71999049186707,32689,gpu-os03,132.68.52.223,242.71999049186707,37081,9,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",54.411770437493914,22.981779206859592,214.66666666666666,30.656565656565657,14,101,1.5858585858585859,0,94,30.656565656565657,14,101,11.646464646464647,0,229,94.78787878787878,0,881,4639.131313131313,1497,15985,0.0,0.0,0.0,374.55555555555554,87,1001,nan,14,53,nan,1497,10991,nan,87,917,nan,22.981779206859592,126.27867095391211,nan,14,53,12.935614788723585,1.273625301228642,1.1773235297067242,36700,37081,18434.245,18.989,8396.463,88.68,37.92068965517241,36.9,1.5187499523162842,4.999999873689376e-05,2.1445644,-0.08180366,2.2256792,0.8236949,0.016802736,2.483057,0.009999999776482582
-326.0,-8092.0,-1344.33,242.92,17,2494,False,39575,116,10,d5d47c3a412c4208aa741ee3dcfd8478,2021-08-16_09-53-23,1629107603,18.160993576049805,260.88098406791687,32689,gpu-os03,132.68.52.223,260.88098406791687,39575,10,8,2883fdd4,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",43.11787781350482,22.981779206859592,165.23043944265808,22.53,14,43,0.0,0,0,22.53,14,43,0.31,0,22,7.52,0,630,3601.51,1497,15985,0.0,0.0,0.0,242.92,87,1001,nan,14,41,nan,1497,10991,nan,87,856,nan,22.981779206859592,126.27867095391211,nan,14,41,13.999687799763587,1.2301590661969093,1.1776587481064322,39100,39575,17911.376,17.491,8049.028,80.67,41.7,36.89999999999999,1.5187499523162842,4.999999873689376e-05,1.4388056,-0.078921646,1.5199207,0.8617962,0.013869225,2.325737,0.009999999776482582
