episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-2379.0,-15366.0,-8448.375,736.875,8,5895,False,5895,8,1,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-23-14,1629120194,29.52622652053833,29.52622652053833,24369,gpu-os03,132.68.52.223,29.52622652053833,5895,1,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",84.67550911039658,29.924973204715968,161.66988210075027,74.625,41,114,0.0,0,0,74.625,41,114,56.25,0,166,474.0,0,932,6552.625,2691,9555,0.00013250171522861688,0.0,0.00032102728731942215,736.875,256,1001,nan,41,52,nan,2691,3585,nan,256,324,nan,29.924973204715968,39.644158628081456,nan,41,52,13.973167047663559,1.4366339286411804,1.2521564794936255,5800,5895,15853.615,106.3,12765.423,703.815,47.14883720930232,37.03255813953488,0.20000000298023224,4.999999873689376e-05,230.08578,-0.053702835,230.16576,0.13035607,0.028298613,3.192349,0.009999999776482582
-2379.0,-15366.0,-8689.3125,819.3125,8,7214,False,13109,16,2,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-23-53,1629120233,38.763670444488525,68.28989696502686,24369,gpu-os03,132.68.52.223,68.28989696502686,13109,2,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",95.56350482315112,29.924973204715968,166.80385852090032,65.3125,41,114,0.0,0,0,65.3125,41,114,57.125,0,182,429.3125,0,932,7807.625,2691,10811,9.28609848029878e-05,0.0,0.00032102728731942215,819.3125,256,1001,nan,41,52,nan,2691,9132,nan,256,820,nan,29.924973204715968,98.89817792068595,nan,41,52,12.711941194402826,1.3529134958643074,1.2296911410246072,13000,13109,19793.411,66.443,13869.764,356.066,43.279999999999994,37.30545454545456,0.30000001192092896,4.999999873689376e-05,63.264816,-0.064619884,63.351643,0.48824894,0.030550446,3.137157,0.009999999776482582
-1934.0,-15366.0,-7191.708333333333,703.125,8,3766,False,16875,24,3,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-24-22,1629120262,28.690165281295776,96.98006224632263,24369,gpu-os03,132.68.52.223,96.98006224632263,16875,3,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",81.6576455877099,28.60450160771704,166.80385852090032,56.375,28,114,0.0,0,0,56.375,28,114,38.083333333333336,0,182,286.2083333333333,0,932,6977.75,2691,10811,0.00014007908766168343,0.0,0.00035829451809387314,703.125,247,1001,nan,28,52,nan,2691,10479,nan,247,931,nan,28.60450160771704,98.89817792068595,nan,28,52,12.711111273297481,1.311170326811182,1.2173494926996582,16700,16875,20142.639,47.418,11850.505,240.046,38.829268292682926,37.3,0.44999998807907104,4.999999873689376e-05,21.198687,-0.0688374,21.28641,0.6488186,0.027050287,3.1059217,0.009999999776482582
-1480.0,-15366.0,-6149.46875,646.96875,8,3828,False,20703,32,4,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-24-41,1629120281,19.39407730102539,116.37413954734802,24369,gpu-os03,132.68.52.223,116.37413954734802,20703,4,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",78.01125401929261,24.842443729903536,174.93461950696678,51.25,28,114,0.0,0,0,50.5,28,114,31.1875,0,182,231.78125,0,932,6635.5,2691,10861,0.00015477136174708828,0.0,0.0003677822728944465,646.96875,212,1001,nan,28,52,nan,2691,10861,nan,212,931,nan,24.842443729903536,110.97320471596998,nan,28,54,12.592100960612147,1.280228704202682,1.2135810529126798,20500,20703,17975.443,37.662,10857.818,182.094,44.31785714285714,37.3,0.675000011920929,4.999999873689376e-05,9.203012,-0.082015716,9.2996,0.7359338,0.02309962,3.0163333,0.009999999776482582
-877.0,-15366.0,-4867.239130434783,540.7826086956521,14,4173,False,24876,46,5,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-25-08,1629120308,26.639533042907715,143.01367259025574,24369,gpu-os03,132.68.52.223,143.01367259025574,24876,5,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",67.6826972365907,22.077170418006432,174.93461950696678,44.891304347826086,22,114,0.0,0,0,43.52173913043478,22,114,22.391304347826086,0,182,172.2826086956522,0,932,5745.086956521739,1809,12653,0.00022229909180368664,0.0,0.000552791597567717,540.7826086956521,139,1001,nan,22,52,nan,1809,10861,nan,139,931,nan,22.077170418006432,110.97320471596998,nan,22,54,12.627485381252004,1.2518066281859654,1.205892095653802,24600,24876,18014.637,31.879,10372.307,147.373,42.665789473684214,37.33157894736843,1.0125000476837158,4.999999873689376e-05,7.5649204,-0.07786003,7.6524167,0.74227273,0.019609865,2.949092,0.009999999776482582
-601.0,-15366.0,-4072.508474576271,470.8474576271187,13,2904,False,27780,59,6,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-25-28,1629120328,20.321380376815796,163.33505296707153,24369,gpu-os03,132.68.52.223,163.33505296707153,27780,6,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",61.125946918088175,21.15112540192926,174.93461950696678,40.610169491525426,20,114,0.0,0,0,39.32203389830509,18,114,17.45762711864407,0,182,134.32203389830508,0,932,5126.423728813559,1483,12653,0.00025404392294196766,0.0,0.0006743088334457181,470.8474576271187,122,1001,nan,18,52,nan,1483,10861,nan,122,931,nan,21.15112540192926,110.97320471596998,nan,20,54,12.786402477014912,1.22596991824977,1.2067678897328402,27500,27780,17395.64,27.591,9640.485,124.104,40.04827586206897,37.4,1.0125000476837158,4.999999873689376e-05,4.131094,-0.081140764,4.221626,0.8133509,0.019115163,2.8746026,0.009999999776482582
-530.0,-15366.0,-3482.5135135135133,419.6081081081081,15,3271,False,31051,74,7,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-25-52,1629120352,23.968634605407715,187.30368757247925,24369,gpu-os03,132.68.52.223,187.30368757247925,31051,7,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",56.639060282147106,21.15112540192926,174.93461950696678,37.391891891891895,18,114,0.0,0,0,36.0945945945946,18,114,13.91891891891892,0,182,107.0945945945946,0,932,4720.540540540541,1483,12653,0.0002794366520000082,0.0,0.0006743088334457181,419.6081081081081,120,1001,nan,18,52,nan,1483,11081,nan,120,931,nan,21.15112540192926,124.41586280814576,nan,18,54,13.06106306530861,1.2128473071778862,1.2041662536973166,30700,31051,17378.691,24.447,9213.797,107.523,42.279411764705884,37.400000000000006,1.0125000476837158,4.999999873689376e-05,4.105598,-0.08855087,4.2007446,0.8005564,0.02070653,2.7561815,0.009999999776482582
-458.0,-15366.0,-3137.1046511627906,390.0348837209302,12,2492,False,33543,86,8,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-26-09,1629120369,16.466716051101685,203.77040362358093,24369,gpu-os03,132.68.52.223,203.77040362358093,33543,8,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",54.563174555696804,21.15112540192926,174.93461950696678,35.25581395348837,18,114,0.0,0,0,34.13953488372093,18,114,11.976744186046512,0,182,92.15116279069767,0,932,4499.953488372093,1483,12653,0.0002972615104450082,0.0,0.0006743088334457181,390.0348837209302,108,1001,nan,18,52,nan,1483,11081,nan,108,931,nan,21.15112540192926,124.41586280814576,nan,18,54,13.151944773791035,1.2012084783402985,1.2033505094710908,33100,33543,16639.292,21.959,8682.751,95.231,40.9,37.4,1.5187499523162842,4.999999873689376e-05,3.372955,-0.077108614,3.456227,0.8012045,0.013555646,2.6750867,0.009999999776482582
-374.0,-15366.0,-2712.1,352.16,15,2674,False,36217,101,9,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-26-31,1629120391,22.260000944137573,226.0304045677185,24369,gpu-os03,132.68.52.223,226.0304045677185,36217,9,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",51.54833869239015,21.15112540192926,174.93461950696678,32.24,15,114,0.0,0,0,31.28,15,114,9.76,0,182,72.2,0,932,4200.58,1483,12653,0.00031266250300154694,0.0,0.0006743088334457181,352.16,99,1001,nan,15,52,nan,1483,11081,nan,99,931,nan,21.15112540192926,124.41586280814576,nan,15,54,13.40159613169285,1.1729730881841758,1.2016864558407736,35700,36217,16664.829,20.067,8312.972,85.545,38.36774193548387,37.400000000000006,1.5187499523162842,4.999999873689376e-05,2.2851045,-0.07375121,2.3632193,0.8304378,0.013869671,2.5427897,0.009999999776482582
-374.0,-8310.0,-1515.65,251.67,15,2059,False,38276,116,10,806c577e15294e70a3d90f58d9666ae3,2021-08-16_13-26-45,1629120405,13.854487895965576,239.88489246368408,24369,gpu-os03,132.68.52.223,239.88489246368408,38276,10,8,035aacd8,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",42.19566988210076,21.15112540192926,174.93461950696678,25.5,15,54,0.0,0,0,24.54,15,52,1.16,0,84,10.56,0,548,3401.3,1483,12653,0.00036968101162804847,0.0,0.0006743088334457181,251.67,93,1001,nan,15,52,nan,1483,11081,nan,93,931,nan,21.15112540192926,124.41586280814576,nan,15,54,13.711410568185425,1.1637286356042116,1.19526326244469,37700,38276,15970.095,18.441,7892.177,77.789,43.855000000000004,37.39999999999999,1.5187499523162842,4.999999873689376e-05,1.7710981,-0.08923488,1.8596379,0.8514749,0.016525608,2.44031,0.009999999776482582
