episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-3733.0,-11592.0,-8638.375,828.125,8,6625,False,6625,8,1,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-04-31,1629119071,33.864972829818726,33.864972829818726,11367,gpu-os03,132.68.52.223,33.864972829818726,6625,1,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",108.06966773847802,30.430868167202572,163.20900321543408,80.0,47,101,123.5,0,408,80.0,47,101,244.625,0,562,574.25,0,927,6147.625,3139,11265,7.632690720619641e-05,0.0,0.00031857279388340236,828.125,287,1001,nan,51,57,nan,3139,3291,nan,287,332,nan,30.430868167202572,39.72561629153269,nan,51,57,10.111031797848927,1.4590328598032216,1.2096116680098112,6600,6625,18747.029,101.57,14204.316,715.699,42.348979591836745,37.03469387755102,0.20000000298023224,4.999999873689376e-05,220.46664,-0.059725277,220.55109,0.14915793,0.035454404,3.1838417,0.009999999776482582
-1887.0,-11592.0,-7628.875,769.8125,8,5692,False,12317,16,2,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-05-00,1629119100,28.63498854637146,62.499961376190186,11367,gpu-os03,132.68.52.223,62.499961376190186,12317,2,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",100.32462486602357,24.375133976420152,174.11361200428723,70.75,32,101,61.75,0,408,68.1875,28,101,154.5625,0,562,481.3125,0,927,6680.8125,2425,11265,0.00014004098141247702,0.0,0.0004123711340206186,769.8125,219,1001,nan,28,57,nan,2425,3291,nan,219,332,nan,24.375133976420152,39.72561629153269,nan,32,64,9.5362190744538,1.3829393912972958,1.2010130337899119,12200,12317,17933.955,57.392,12838.878,361.644,41.860975609756096,37.27317073170731,0.30000001192092896,4.999999873689376e-05,79.52445,-0.068562254,79.61597,0.3801813,0.027576672,3.1234448,0.009999999776482582
-1450.0,-11592.0,-6119.52,640.32,9,3691,False,16008,25,3,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-05-25,1629119125,25.539563179016113,88.0395245552063,11367,gpu-os03,132.68.52.223,88.0395245552063,16008,3,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",82.06568060021436,23.627009646302252,174.11361200428723,58.52,25,101,39.52,0,408,55.92,25,101,102.76,0,562,346.44,0,927,6090.16,2293,12127,0.0001593319008828267,0.0,0.0004123711340206186,640.32,183,1001,nan,25,57,nan,2293,4327,nan,183,332,nan,23.627009646302252,40.77170418006431,nan,25,64,10.185104879288051,1.3363362690172118,1.2026055935728808,15800,16008,17992.306,40.542,11021.521,243.762,43.77777777777778,37.30833333333333,0.44999998807907104,4.999999873689376e-05,18.604683,-0.07696735,18.701519,0.6520051,0.024441302,3.0868413,0.009999999776482582
-920.0,-11592.0,-5343.324324324324,595.1351351351351,12,6012,False,22020,37,4,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-06-06,1629119166,40.41522812843323,128.45475268363953,11367,gpu-os03,132.68.52.223,128.45475268363953,22020,4,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",75.63575794443962,22.270096463022508,174.11361200428723,51.7027027027027,21,101,26.7027027027027,0,408,48.83783783783784,21,101,71.37837837837837,0,562,273.4864864864865,0,927,6200.405405405405,2077,13425,0.0001717686664136543,0.0,0.00048146364949446316,595.1351351351351,155,1001,nan,21,57,nan,2077,10608,nan,155,861,nan,22.270096463022508,102.60021436227224,nan,21,64,11.51138809260405,1.2921994091002467,1.2005029426156741,21800,22020,20483.356,35.27,11367.561,184.825,47.9551724137931,37.36034482758621,0.675000011920929,4.999999873689376e-05,11.492163,-0.07353988,11.579757,0.7276923,0.023557741,2.9956791,0.009999999776482582
-791.0,-11592.0,-4561.291666666667,525.25,11,3192,False,25212,48,5,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-06-29,1629119189,23.50893998146057,151.9636926651001,11367,gpu-os03,132.68.52.223,151.9636926651001,25212,5,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",67.75236691675599,22.270096463022508,174.11361200428723,47.041666666666664,21,101,20.583333333333332,0,408,44.479166666666664,20,101,55.020833333333336,0,562,210.8125,0,927,5638.416666666667,1997,13425,0.00020667621076408317,0.0,0.000500751126690035,525.25,144,1001,nan,20,57,nan,1997,10608,nan,144,861,nan,22.270096463022508,102.60021436227224,nan,21,64,12.250784432778898,1.2886999867393263,1.1954065065874147,24900,25212,19806.817,29.522,10368.232,149.726,41.28235294117647,37.400000000000006,1.0125000476837158,4.999999873689376e-05,6.8237944,-0.07728801,6.910331,0.7989612,0.019864218,2.9361105,0.009999999776482582
-734.0,-11592.0,-4000.1525423728813,477.5762711864407,11,2965,False,28177,59,6,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-06-52,1629119212,22.52714967727661,174.4908423423767,11367,gpu-os03,132.68.52.223,174.4908423423767,28177,6,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",63.669991098515816,22.270096463022508,174.11361200428723,43.016949152542374,20,101,16.74576271186441,0,408,40.932203389830505,20,101,44.76271186440678,0,562,171.5084745762712,0,927,5302.525423728814,1773,13425,0.00023222258009610754,0.0,0.0005640157924421884,477.5762711864407,123,1001,nan,20,57,nan,1773,10608,nan,123,861,nan,22.270096463022508,102.60021436227224,nan,20,64,12.708182070759769,1.2825242531598948,1.1950778280229881,27800,28177,19265.815,25.666,9628.31,126.008,39.875,37.4,1.0125000476837158,4.999999873689376e-05,5.0723295,-0.07734854,5.1592913,0.78392607,0.018390303,2.8233624,0.009999999776482582
-542.0,-11592.0,-3383.7027027027025,415.64864864864865,15,2581,False,30758,74,7,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-07-12,1629119232,20.569337844848633,195.06018018722534,11367,gpu-os03,132.68.52.223,195.06018018722534,30758,7,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",57.17705164972046,22.021436227224008,174.11361200428723,39.472972972972975,18,101,13.35135135135135,0,408,37.58108108108108,18,101,35.689189189189186,0,562,136.74324324324326,0,927,4724.891891891892,1429,13425,0.0002702934480689406,0.0,0.0006997900629811056,415.64864864864865,109,1001,nan,18,57,nan,1429,10608,nan,109,861,nan,22.021436227224008,102.60021436227224,nan,18,64,13.382484549899864,1.2551421421072817,1.1963387519345252,30300,30758,18710.278,22.646,8989.162,109.161,43.434482758620696,37.4,1.0125000476837158,4.999999873689376e-05,4.7589808,-0.081845246,4.8492317,0.8005366,0.01834131,2.6976187,0.009999999776482582
-472.0,-11592.0,-3037.0113636363635,387.27272727272725,14,3322,False,34080,88,8,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-07-33,1629119253,20.100351572036743,215.16053175926208,11367,gpu-os03,132.68.52.223,215.16053175926208,34080,8,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",55.41561921465458,22.021436227224008,174.11361200428723,36.63636363636363,18,101,11.227272727272727,0,408,35.04545454545455,18,101,30.011363636363637,0,562,114.98863636363636,0,927,4551.909090909091,1429,13425,0.00027014014107687944,0.0,0.0006997900629811056,387.27272727272725,103,1001,nan,18,57,nan,1429,13097,nan,103,861,nan,22.021436227224008,149.2647374062165,nan,18,64,13.824583955243435,1.24523682952296,1.1974058725155352,33600,34080,18036.559,20.678,8707.885,96.509,46.3551724137931,37.4,1.0125000476837158,4.999999873689376e-05,3.2235463,-0.0812171,3.3112803,0.816742,0.019102631,2.5858068,0.009999999776482582
-453.0,-11592.0,-2518.8,337.5,15,1959,False,36039,103,9,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-07-52,1629119272,19.55129885673523,234.71183061599731,11367,gpu-os03,132.68.52.223,234.71183061599731,36039,9,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",49.94366559485531,22.021436227224008,174.11361200428723,32.46,14,101,6.07,0,408,31.06,14,101,18.53,0,562,84.46,0,927,4184.84,1429,13425,0.0003026639314207712,0.0,0.0006997900629811056,337.5,103,1001,nan,14,51,nan,1429,13097,nan,103,861,nan,22.021436227224008,149.2647374062165,nan,14,64,14.27546713269284,1.2134693984726947,1.1963309634930044,35500,36039,17767.644,18.885,8173.781,86.626,33.19642857142857,37.39999999999999,1.0125000476837158,4.999999873689376e-05,2.5697978,-0.100608684,2.674777,0.80529636,0.020494623,2.5121343,0.009999999776482582
-435.0,-10259.0,-1551.28,251.36,15,2620,False,38659,118,10,f2f5b115678840c1a841fbabb1e28334,2021-08-16_13-08-10,1629119290,18.112470149993896,252.8243007659912,11367,gpu-os03,132.68.52.223,252.8243007659912,38659,10,8,639bba18,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",41.87749196141479,22.021436227224008,149.2647374062165,25.6,14,52,0.0,0,0,24.85,14,52,0.82,0,31,21.36,0,678,3570.11,1429,13425,0.0003226986527581514,0.0,0.0006997900629811056,251.36,95,1001,nan,14,42,nan,1429,13097,nan,95,861,nan,22.021436227224008,149.2647374062165,nan,14,50,15.427463291868758,1.1931081858615358,1.197401621409702,38100,38659,17265.611,17.476,7889.505,78.702,45.30769230769231,37.39999999999999,1.5187499523162842,4.999999873689376e-05,1.7580343,-0.075400785,1.8360221,0.85398394,0.013917908,2.3724935,0.009999999776482582
