episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-15.0,-342.0,-80.87234042553192,43.638297872340424,47,2051,False,2051,47,1,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-39-01,1629110341,49.92284631729126,49.92284631729126,2663,gpu-os03,132.68.52.223,49.92284631729126,2051,1,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",6.964310962121729,0.49732047159699894,34.10075026795284,6.680851063829787,6,10,52.04255319148936,1,245,6.0,6,6,52.04255319148936,1,245,393.4468085106383,0,769,548.8297872340426,21,2697,0.0027098215449853406,0.0,0.018867924528301886,43.638297872340424,6,199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124.5913460648144,1.184064697875371,1.5014977753948962,2000,2051,44095.477,99.529,4884.233,747.882,50.80833333333333,36.41388888888889,0.20000000298023224,4.999999873689376e-05,0.61155933,-0.039985895,0.678509,0.39123994,0.025666514,3.209708,0.009999999776482582
-15.0,-342.0,-76.15384615384616,41.62637362637363,44,1737,False,3788,91,2,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-39-40,1629110380,39.601797342300415,89.52464365959167,2663,gpu-os03,132.68.52.223,89.52464365959167,3788,2,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",6.705817226717548,0.49732047159699894,34.10075026795284,6.65934065934066,6,10,49.043956043956044,1,247,6.0,6,6,49.043956043956044,1,247,363.27472527472526,0,769,525.6813186813187,21,2697,0.0026235063875803284,0.0,0.018867924528301886,41.62637362637363,6,199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120.53972288019882,1.1672373037601342,1.4485665475074763,3700,3788,40025.56,51.785,4248.702,378.504,46.416071428571435,36.510714285714286,0.30000001192092896,4.999999873689376e-05,0.40233293,-0.029580927,0.4593537,0.58163315,0.01503574,3.1950526,0.009999999776482582
-14.0,-358.0,-64.1,35.68,56,1831,False,5619,147,3,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-40-36,1629110436,55.585349798202515,145.1099934577942,2663,gpu-os03,132.68.52.223,145.1099934577942,5619,3,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",5.8061307609860675,0.14362272240085744,30.921757770632368,6.6,6,10,42.29,0,247,6.0,6,6,42.29,0,247,375.86,0,794,454.2,59,2551,0.0034845143293271543,0.0,0.01694915254237288,35.68,5,206,nan,6,6,nan,59,59,nan,5,5,nan,0.14362272240085744,0.14362272240085744,nan,6,6,115.07463939225599,1.1265886005888652,1.3675449330999323,5500,5619,43931.987,36.548,4099.142,255.508,38.25625,36.60000000000001,0.30000001192092896,4.999999873689376e-05,0.3327338,-0.04345054,0.40188158,0.620336,0.019872893,3.1659064,0.009999999776482582
-14.0,-190.0,-50.7,28.1,70,1866,False,7485,217,4,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-41-16,1629110476,39.72365188598633,184.83364534378052,2663,gpu-os03,132.68.52.223,184.83364534378052,7485,4,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.668317256162915,0.21436227224008575,23.710610932475884,6.48,6,10,33.13,0,179,6.0,6,6,33.13,0,179,380.31,0,747,356.42,25,1437,0.0050416925098165,0.0,0.04,28.1,5,126,nan,6,6,nan,25,61,nan,5,5,nan,0.43086816720257237,0.43729903536977494,nan,6,6,113.35208779931735,1.104623926745176,1.3212778327825858,7300,7485,41924.319,28.563,4021.012,193.835,53.16428571428571,36.6,0.30000001192092896,4.999999873689376e-05,0.29454598,-0.049078617,0.3696505,0.67445755,0.017841365,3.137833,0.009999999776482582
-14.0,-190.0,-43.94,23.87,76,1794,False,9279,293,5,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-42-03,1629110523,47.41766977310181,232.25131511688232,2663,gpu-os03,132.68.52.223,232.25131511688232,9279,5,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.075091103965701,0.14362272240085744,18.377277599142552,6.32,6,10,28.74,0,161,6.0,6,6,28.74,0,161,358.62,0,797,305.72,25,1425,0.005395945573371418,0.0,0.04,23.87,5,105,nan,6,6,nan,25,39,nan,5,5,nan,0.14362272240085744,0.43086816720257237,nan,6,6,113.589417101819,1.1166569406196867,1.3013575827075778,9000,9279,42299.775,23.992,3933.413,156.566,41.36176470588235,36.599999999999994,0.30000001192092896,4.999999873689376e-05,0.27940226,-0.054012027,0.35895938,0.66386473,0.018162742,3.0993958,0.009999999776482582
-14.0,-154.0,-40.52,22.5,77,1736,False,11015,370,6,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-42-41,1629110561,37.850037813186646,270.10135293006897,2663,gpu-os03,132.68.52.223,270.10135293006897,11015,6,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.891425509110397,0.5101822079314041,18.377277599142552,6.08,6,10,28.39,1,161,6.0,6,6,28.39,1,161,352.02,0,916,285.18,33,1275,0.005236013682882501,0.0,0.030303030303030304,22.5,5,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115.32621966416512,1.1129003413172576,1.2926443496925335,10700,11015,40958.323,20.946,3872.448,131.733,56.533333333333346,36.59999999999999,0.30000001192092896,4.999999873689376e-05,0.21252097,-0.039820384,0.27841482,0.712025,0.015384217,3.0688713,0.009999999776482582
-14.0,-142.0,-41.14,22.2,80,1729,False,12744,450,7,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-43-20,1629110600,38.52872848510742,308.6300814151764,2663,gpu-os03,132.68.52.223,308.6300814151764,12744,7,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.7835369774919614,0.4608788853161844,17.043944265809216,6.16,6,10,24.25,1,143,6.0,6,6,24.25,1,143,349.31,0,792,293.98,33,1239,0.005028774790962304,0.0,0.030303030303030304,22.2,5,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114.33317823130888,1.1109524017583936,1.2806392490926106,12400,12744,40097.996,18.697,3828.067,114.01,47.212727272727285,36.59999999999999,0.30000001192092896,4.999999873689376e-05,0.25462195,-0.050381914,0.33003938,0.7027931,0.017245892,3.020926,0.009999999776482582
-14.0,-112.0,-39.19,21.11,80,1688,False,14432,530,8,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-43-58,1629110638,38.29549813270569,346.9255795478821,2663,gpu-os03,132.68.52.223,346.9255795478821,14432,8,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.6440085744908903,0.43086816720257237,11.564844587352626,6.08,6,10,23.98,0,88,6.0,6,6,23.98,0,88,335.25,0,792,292.28,61,919,0.004746064665301863,0.0,0.01639344262295082,21.11,5,66,nan,6,6,nan,75,109,nan,5,13,nan,0.43086816720257237,1.2540192926045015,nan,6,6,112.80938479046249,1.1163791832973249,1.273821755189935,14000,14432,39444.839,17.097,3772.93,100.738,45.38,36.59999999999999,0.30000001192092896,4.999999873689376e-05,0.20373338,-0.054128207,0.28254178,0.7118088,0.016239826,2.9552145,0.009999999776482582
-14.0,-112.0,-38.85,21.18,82,1696,False,16128,612,9,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-44-37,1629110677,38.82286882400513,385.7484483718872,2663,gpu-os03,132.68.52.223,385.7484483718872,16128,9,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.8652733118971065,0.14362272240085744,11.564844587352626,6.0,6,6,26.54,0,103,6.0,6,6,26.54,0,103,356.49,0,724,288.16,35,919,0.005047740355646021,0.0,0.02857142857142857,21.18,5,66,nan,6,6,nan,55,79,nan,5,5,nan,0.14362272240085744,0.43086816720257237,nan,6,6,112.16432647625588,1.1168916576026329,1.2636440344238613,15600,16128,38998.936,15.953,3726.438,90.907,44.91636363636364,36.59999999999999,0.30000001192092896,4.999999873689376e-05,0.19956419,-0.024472814,0.24794805,0.75682527,0.017754514,2.9237387,0.009999999776482582
-14.0,-149.0,-36.09,19.82,90,1765,False,17893,702,10,43327e1ac61c4e95b0680c06c0be0a0f,2021-08-16_10-45-04,1629110704,27.75024151802063,413.49868988990784,2663,gpu-os03,132.68.52.223,413.49868988990784,17893,10,8,065b9404,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.5264737406216513,0.14362272240085744,14.70096463022508,6.04,6,10,25.1,0,129,6.0,6,6,25.1,0,129,346.76,0,916,273.52,45,1231,0.005587635810033009,0.0008123476848090983,0.022222222222222223,19.82,5,94,nan,6,6,nan,55,107,nan,5,5,nan,0.14362272240085744,0.43086816720257237,nan,6,6,109.3041573672169,1.1274530764434656,1.2625916814334246,17300,17893,37513.773,14.822,3710.391,82.621,54.3525,36.6,0.30000001192092896,4.999999873689376e-05,0.19564968,-0.051236697,0.26983023,0.7305522,0.01888971,2.861076,0.009999999776482582
