episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-1.0,-1.0,-1.0,1.0,1600,1600,False,1600,1600,1,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-10-45,1629108645,37.944828510284424,37.944828510284424,15743,gpu-os03,132.68.52.223,37.944828510284424,1600,1,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.165021436227224,0.04287245444801715,1.4683815648445873,2.0,2,2,2.7375,0,19,2.0,2,2,2.7375,0,19,251.434375,0,932,7.88375,3,33,0.17958333333333332,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,138.46660772366312,1.6043770372571045,1.5310763719663099,1600,1600,33046.646,94.961,3913.284,731.414,57.943636363636365,36.33272727272728,0.20000000298023224,4.999999873689376e-05,-0.040073134,0.0,0.0,-1.0,9.7074505e-08,4.0073156,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,3200,3200,2,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-11-21,1629108681,35.5361590385437,73.48098754882812,15743,gpu-os03,132.68.52.223,73.48098754882812,3200,2,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16688906752411575,0.04287245444801715,1.4683815648445873,2.0,2,2,2.68625,0,19,2.0,2,2,2.68625,0,19,249.4725,0,932,7.715,3,33,0.18375,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,131.6928667320575,1.5920104825883137,1.380013706083607,3200,3200,32598.827,49.879,3601.259,369.929,54.90588235294117,36.470588235294116,0.10000000149011612,4.999999873689376e-05,-0.04007317,0.0,0.0,-1.0,1.200824e-07,4.007318,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,4800,4800,3,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-11-59,1629108719,38.50156855583191,111.98255610466003,15743,gpu-os03,132.68.52.223,111.98255610466003,4800,3,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.1668033226152197,0.04287245444801715,1.4683815648445873,2.0,2,2,2.74125,0,19,2.0,2,2,2.74125,0,19,257.458125,0,932,7.92875,3,33,0.1733333333333333,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,131.00628631682247,1.590889176592454,1.3282203832997659,4800,4800,33437.396,34.724,3498.18,249.078,52.535185185185185,36.5,0.05000000074505806,4.999999873689376e-05,-0.04007321,0.0,0.0,-1.0,4.1214065e-07,4.0073233,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,6400,6400,4,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-12-39,1629108759,39.51624512672424,151.49880123138428,15743,gpu-os03,132.68.52.223,151.49880123138428,6400,4,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16410503751339764,0.04287245444801715,1.4683815648445873,2.0,2,2,2.745,0,19,2.0,2,2,2.745,0,19,248.3875,0,932,7.70875,3,33,0.17875,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,134.04020808460413,1.5910113423355807,1.307827926307135,6400,6400,34115.726,27.123,3442.89,189.44,55.64385964912281,36.5,0.02500000037252903,4.999999873689376e-05,-0.04007326,0.0,0.0,-1.0,8.3238075e-07,4.007328,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,8000,8000,5,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-13-18,1629108798,38.94227457046509,190.44107580184937,15743,gpu-os03,132.68.52.223,190.44107580184937,8000,5,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.1578269024651661,0.04287245444801715,1.4683815648445873,2.0,2,2,2.60375,0,19,2.0,2,2,2.60375,0,19,253.873125,0,932,7.81,3,33,0.17916666666666664,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,133.68716919338786,1.5890437227624516,1.29199894396337,8000,8000,34406.3,22.322,3411.826,153.011,52.96363636363636,36.5,0.012500000186264515,4.999999873689376e-05,-0.040073305,0.0,0.0,-1.0,9.457267e-07,4.007332,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,9600,9600,6,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-13-59,1629108839,41.275208473205566,231.71628427505493,15743,gpu-os03,132.68.52.223,231.71628427505493,9600,6,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.17022240085744908,0.04287245444801715,1.4683815648445873,2.0,2,2,2.78625,0,19,2.0,2,2,2.78625,0,19,262.58125,0,932,7.945,3,33,0.17854166666666665,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,134.27032313180106,1.5883819447468954,1.2799399927394974,9600,9600,34988.337,19.317,3390.779,129.182,51.62881355932203,36.5,0.0062500000931322575,4.999999873689376e-05,-0.040073328,0.0,0.0,-1.0,7.743728e-07,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,11200,11200,7,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-14-36,1629108876,36.67642283439636,268.3927071094513,15743,gpu-os03,132.68.52.223,268.3927071094513,11200,7,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16718917470525185,0.04287245444801715,1.4683815648445873,2.0,2,2,2.68125,0,19,2.0,2,2,2.68125,0,19,245.070625,0,932,7.62,3,33,0.17916666666666664,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,131.15451988537427,1.5857625569214913,1.2703668764878138,11200,11200,34747.389,17.101,3375.353,112.003,48.93584905660378,36.5,0.0031250000465661287,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,2.1795549e-07,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,12800,12800,8,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-15-12,1629108912,35.9100022315979,304.3027093410492,15743,gpu-os03,132.68.52.223,304.3027093410492,12800,8,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16625133976420148,0.04287245444801715,1.4683815648445873,2.0,2,2,2.74375,0,19,2.0,2,2,2.74375,0,19,261.163125,0,932,7.99625,3,33,0.18270833333333333,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,131.16750625578186,1.5853583105350566,1.2646474963348409,12800,12800,34474.365,15.484,3360.368,99.324,56.725490196078425,36.5,0.0015625000232830644,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,9.5425364e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,14400,14400,9,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-15-43,1629108943,31.12358021736145,335.42628955841064,15743,gpu-os03,132.68.52.223,335.42628955841064,14400,9,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16217711682743835,0.04287245444801715,1.4683815648445873,2.0,2,2,2.646875,0,19,2.0,2,2,2.646875,0,19,247.57625,0,932,7.52,3,33,0.18145833333333333,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,130.28001025741065,1.5833089743502466,1.257547185131075,14400,14400,33726.34,14.449,3352.52,89.274,61.64772727272726,36.5,0.0007812500116415322,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,9.085163e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,16000,16000,10,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-16-17,1629108977,34.4779691696167,369.90425872802734,15743,gpu-os03,132.68.52.223,369.90425872802734,16000,10,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.1617725080385852,0.04287245444801715,1.4683815648445873,2.0,2,2,2.630625,0,19,2.0,2,2,2.630625,0,19,241.76125,0,932,7.54875,3,33,0.18416666666666667,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,129.06279604414712,1.5820723542685748,1.2520319935323476,16000,16000,33463.246,13.379,3346.646,81.272,54.008,36.5,0.0003906250058207661,4.999999873689376e-05,-0.040073335,0.0,0.0,-1.0,1.2528139e-07,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,17600,17600,11,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-16-53,1629109013,35.85859417915344,405.7628529071808,15743,gpu-os03,132.68.52.223,405.7628529071808,17600,11,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.17994105037513397,0.04287245444801715,1.4683815648445873,2.0,2,2,2.9325,0,19,2.0,2,2,2.9325,0,19,263.154375,0,932,8.11625,3,33,0.17833333333333332,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,129.21494055964197,1.582346521470288,1.2504826860501514,17600,17600,33407.042,4.308,3283.409,9.167,56.607843137254896,36.55294117647058,0.00019531250291038305,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,-1.0983478e-07,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,19200,19200,12,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-17-29,1629109049,35.733999490737915,441.4968523979187,15743,gpu-os03,132.68.52.223,441.4968523979187,19200,12,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.17653938906752412,0.04287245444801715,1.4683815648445873,2.0,2,2,2.871875,0,19,2.0,2,2,2.871875,0,19,256.68,0,932,7.74625,3,33,0.1825,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,128.89948247721276,1.5806622278784672,1.2462658342943744,19200,19200,33426.067,4.235,3284.458,9.207,54.758823529411764,36.562745098039215,9.765625145519152e-05,4.999999873689376e-05,-0.040073335,0.0,0.0,-1.0,7.691861e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,20800,20800,13,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-18-07,1629109087,38.26382637023926,479.76067876815796,15743,gpu-os03,132.68.52.223,479.76067876815796,20800,13,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16882636655948552,0.04287245444801715,1.4683815648445873,2.0,2,2,2.7725,0,19,2.0,2,2,2.7725,0,19,266.0675,0,932,7.7725,3,33,0.18270833333333333,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,128.3910859437779,1.5807394131657162,1.2445928545375826,20800,20800,33404.225,4.17,3282.912,9.352,50.398148148148145,36.598148148148134,4.882812572759576e-05,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,-7.6831014e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,22400,22400,14,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-18-45,1629109125,38.04925227165222,517.8099310398102,15743,gpu-os03,132.68.52.223,517.8099310398102,22400,14,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.17643220793140407,0.04287245444801715,1.4683815648445873,2.0,2,2,2.861875,0,19,2.0,2,2,2.861875,0,19,244.325625,0,932,8.14875,3,33,0.18041666666666664,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,128.11347177223578,1.5807080613592188,1.2431724694574444,22400,22400,33258.767,4.099,3281.58,9.327,51.33090909090908,36.59999999999999,2.441406286379788e-05,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,1.3924077e-07,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,24000,24000,15,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-19-22,1629109162,36.15213394165039,553.9620649814606,15743,gpu-os03,132.68.52.223,553.9620649814606,24000,15,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16672829581993567,0.04287245444801715,1.4683815648445873,2.0,2,2,2.76125,0,19,2.0,2,2,2.76125,0,19,261.4625,0,932,7.575,3,33,0.18479166666666663,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,128.42009674108493,1.5799520969867547,1.2401870114530815,24000,24000,32979.683,4.106,3281.156,9.56,57.003921568627455,36.599999999999994,1.220703143189894e-05,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,5.9703865e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,25600,25600,16,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-20-05,1629109205,43.421040296554565,597.3831052780151,15743,gpu-os03,132.68.52.223,597.3831052780151,25600,16,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.18135718113612,0.04287245444801715,1.4683815648445873,2.0,2,2,2.944375,0,19,2.0,2,2,2.944375,0,19,245.518125,0,932,8.07375,3,33,0.16979166666666665,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,129.10074738553448,1.5797009601402339,1.2391667018194414,25600,25600,33193.729,4.088,3281.805,9.599,50.00645161290323,36.59999999999999,6.10351571594947e-06,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,-8.1877694e-08,4.007333,0.009999999776482582
-1.0,-1.0,-1.0,1.0,1600,1600,False,27200,27200,17,33291a38c38e470c9af7eddfe2286a78,2021-08-16_10-20-46,1629109246,40.442484855651855,637.825590133667,15743,gpu-os03,132.68.52.223,637.825590133667,27200,17,8,1b0c522a,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",0.16409431939978564,0.04287245444801715,1.4683815648445873,2.0,2,2,2.75,0,19,2.0,2,2,2.75,0,19,256.11875,0,932,7.73125,3,33,0.17770833333333333,0.0,0.3333333333333333,1.0,1,1,nan,2,2,nan,3,33,nan,1,1,nan,0.04287245444801715,0.04287245444801715,nan,2,2,129.76403052019603,1.5792650567962994,1.237468723338059,27200,27200,33571.611,4.054,3280.653,9.659,53.61896551724138,36.599999999999994,3.051757857974735e-06,4.999999873689376e-05,-0.04007333,0.0,0.0,-1.0,4.1605425e-08,4.007333,0.009999999776482582
