episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/bytes_per_rule_mean,custom_metrics/bytes_per_rule_min,custom_metrics/bytes_per_rule_max,custom_metrics/memory_access_mean,custom_metrics/memory_access_min,custom_metrics/memory_access_max,custom_metrics/exceeded_max_depth_mean,custom_metrics/exceeded_max_depth_min,custom_metrics/exceeded_max_depth_max,custom_metrics/tree_depth_mean,custom_metrics/tree_depth_min,custom_metrics/tree_depth_max,custom_metrics/nodes_remaining_mean,custom_metrics/nodes_remaining_min,custom_metrics/nodes_remaining_max,custom_metrics/rules_remaining_mean,custom_metrics/rules_remaining_min,custom_metrics/rules_remaining_max,custom_metrics/num_nodes_mean,custom_metrics/num_nodes_min,custom_metrics/num_nodes_max,custom_metrics/partition_fraction_mean,custom_metrics/partition_fraction_min,custom_metrics/partition_fraction_max,custom_metrics/num_splits_mean,custom_metrics/num_splits_min,custom_metrics/num_splits_max,custom_metrics/tree_depth_valid_mean,custom_metrics/tree_depth_valid_min,custom_metrics/tree_depth_valid_max,custom_metrics/num_nodes_valid_mean,custom_metrics/num_nodes_valid_min,custom_metrics/num_nodes_valid_max,custom_metrics/num_splits_valid_mean,custom_metrics/num_splits_valid_min,custom_metrics/num_splits_valid_max,custom_metrics/bytes_per_rule_valid_mean,custom_metrics/bytes_per_rule_valid_min,custom_metrics/bytes_per_rule_valid_max,custom_metrics/memory_access_valid_mean,custom_metrics/memory_access_valid_min,custom_metrics/memory_access_valid_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-14.0,-254.0,-61.589285714285715,33.232142857142854,56,1861,False,1861,56,1,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-33-40,1629113620,44.008477449417114,44.008477449417114,9311,gpu-os03,132.68.52.223,44.008477449417114,1861,1,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",5.26309141019752,0.15005359056806003,20.160771704180064,6.714285714285714,6,10,38.392857142857146,0,141,6.0,6,6,38.392857142857146,0,141,376.4642857142857,0,707,401.75,35,1723,0.004008045754658552,0.0,0.02857142857142857,33.232142857142854,5,140,nan,6,6,nan,45,45,nan,5,5,nan,0.15005359056806003,0.15005359056806003,nan,6,6,110.45781024070104,1.100277916224049,1.4247561756356055,1800,1861,38721.342,96.26,4337.445,760.069,47.506349206349206,46.79682539682542,0.20000000298023224,4.999999873689376e-05,0.58214706,-0.043992877,0.6526668,0.44836718,0.027892428,3.2105398,0.009999999776482582
-14.0,-294.0,-61.06,32.82,58,1874,False,3735,114,2,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-34-44,1629113684,64.07938551902771,108.08786296844482,9311,gpu-os03,132.68.52.223,108.08786296844482,3735,2,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",5.171296891747051,0.15005359056806003,22.572347266881028,6.88,6,10,36.64,0,158,6.0,6,6,36.64,0,158,357.83,0,717,394.82,21,1917,0.00462509934403424,0.0,0.047619047619047616,32.82,5,167,nan,6,6,nan,21,45,nan,5,5,nan,0.15005359056806003,0.43086816720257237,nan,6,6,108.66069793127045,1.0838158431714429,1.3661401893125578,3600,3735,49535.423,51.086,4015.744,384.69,37.948913043478264,46.89999999999997,0.30000001192092896,4.999999873689376e-05,0.46963978,-0.028300097,0.52594244,0.5870598,0.012940398,3.1884696,0.009999999776482582
-14.0,-314.0,-56.29,30.32,60,1816,False,5551,174,3,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-35-34,1629113734,50.02625584602356,158.11411881446838,9311,gpu-os03,132.68.52.223,158.11411881446838,5551,3,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.8059807073954985,0.14362272240085744,26.936763129689176,6.56,6,10,37.25,0,220,6.0,6,6,37.25,0,220,367.24,0,766,362.4,47,2039,0.004573006650892996,0.0,0.02127659574468085,30.32,5,174,nan,6,6,nan,85,85,nan,5,5,nan,0.14362272240085744,0.14362272240085744,nan,6,6,121.61378779803857,1.0832875884207107,1.2947568786120194,5400,5551,48459.146,35.564,3905.832,259.676,53.26478873239437,46.9,0.30000001192092896,4.999999873689376e-05,0.4324506,-0.028682092,0.48804128,0.53301334,0.01559944,3.1588469,0.009999999776482582
-14.0,-314.0,-54.48,29.5,71,1847,False,7398,245,4,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-36-16,1629113776,41.85326170921326,199.96738052368164,9311,gpu-os03,132.68.52.223,199.96738052368164,7398,4,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",4.730718113612005,0.14362272240085744,30.411575562700964,6.44,6,10,35.25,0,223,6.0,6,6,35.25,0,223,357.15,0,858,355.4,13,2039,0.005706685382480346,0.0,0.07692307692307693,29.5,5,174,nan,6,6,nan,13,73,nan,5,5,nan,0.14362272240085744,0.14362272240085744,nan,6,6,119.299450762895,1.0904387221400844,1.2616967421037062,7200,7398,45880.118,27.398,3849.835,196.529,42.14166666666666,46.9,0.30000001192092896,4.999999873689376e-05,0.40192032,-0.044878528,0.47280276,0.59287506,0.017583733,3.1279008,0.009999999776482582
-14.0,-194.0,-42.95,23.39,70,1692,False,9090,315,5,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-37-24,1629113844,68.10915112495422,268.07653164863586,9311,gpu-os03,132.68.52.223,268.07653164863586,9090,5,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.6739335476956057,0.15005359056806003,24.143622722400856,6.24,6,10,27.15,0,217,6.0,6,6,27.15,0,217,357.41,0,858,284.2,13,1549,0.006410631373902821,0.0,0.07692307692307693,23.39,5,130,nan,6,6,nan,13,27,nan,5,5,nan,0.15005359056806003,0.43086816720257237,nan,6,6,124.51090914161588,1.1039223110508436,1.2545977459174003,8800,9090,49660.085,22.997,3739.102,158.911,33.15876288659794,46.899999999999984,0.30000001192092896,4.999999873689376e-05,0.30410433,-0.035418607,0.36531186,0.6520514,0.016933909,3.0869074,0.009999999776482582
-14.0,-159.0,-42.46,23.35,78,1735,False,10825,393,6,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-38-23,1629113903,58.9025514125824,326.97908306121826,9311,gpu-os03,132.68.52.223,326.97908306121826,10825,6,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.7754340836012865,0.14362272240085744,17.275455519828512,6.32,6,10,28.71,0,112,6.0,6,6,28.71,0,112,376.31,0,868,296.18,31,1549,0.005256524247433858,0.0,0.03225806451612903,23.35,5,104,nan,6,6,nan,31,33,nan,5,5,nan,0.14362272240085744,0.14362272240085744,nan,6,6,123.7026888628857,1.090878400646322,1.2423223485811568,10500,10825,50606.583,20.055,3704.351,134.042,35.73452380952381,46.89999999999999,0.30000001192092896,4.999999873689376e-05,0.32052368,-0.045938306,0.39120844,0.6652645,0.018674517,3.03488,0.009999999776482582
-14.0,-97.0,-36.23,19.5,89,1735,False,12560,482,7,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-38-51,1629113931,27.840264797210693,354.81934785842896,9311,gpu-os03,132.68.52.223,354.81934785842896,12560,7,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.0665594855305476,0.14362272240085744,7.620578778135048,6.08,6,10,21.86,0,60,6.0,6,6,21.86,0,60,336.66,0,868,249.04,19,875,0.007505174701095967,0.0,0.05263157894736842,19.5,5,55,nan,6,6,nan,37,103,nan,5,5,nan,0.14362272240085744,0.43729903536977494,nan,6,6,117.79509237032609,1.0882403495675537,1.2284542994965433,12200,12560,46849.675,17.788,3674.951,116.018,50.495000000000005,46.965,0.30000001192092896,4.999999873689376e-05,0.2625978,-0.041409437,0.3280049,0.68768525,0.019136988,2.9738736,0.009999999776482582
-14.0,-92.0,-34.34,18.84,92,1755,False,14315,574,8,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-39-33,1629113973,41.821030616760254,396.6403784751892,9311,gpu-os03,132.68.52.223,396.6403784751892,14315,8,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",3.0011361200428723,0.14362272240085744,8.904608788853162,6.04,6,10,22.58,0,91,6.0,6,6,22.58,0,91,330.07,0,901,227.26,17,729,0.009751251420416624,0.0013717421124828531,0.058823529411764705,18.84,5,65,nan,6,6,nan,17,83,nan,5,5,nan,0.14362272240085744,0.15005359056806003,nan,6,6,117.55378417855543,1.0891990925097386,1.2213624925071556,13900,14315,45783.93,15.979,3649.042,102.55,44.25999999999999,47.0,0.30000001192092896,4.999999873689376e-05,0.26175055,-0.038146168,0.32341167,0.6872032,0.019664355,2.9414253,0.009999999776482582
-14.0,-73.0,-30.580952380952382,15.952380952380953,105,1675,False,15990,679,9,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-40-12,1629114012,38.90819597244263,435.54857444763184,9311,gpu-os03,132.68.52.223,435.54857444763184,15990,9,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",2.557852294186699,0.14362272240085744,8.158628081457664,6.076190476190476,6,10,18.438095238095237,0,77,6.0,6,6,18.438095238095237,0,77,294.79047619047617,0,850,197.97142857142856,13,801,0.010637041556218096,0.0,0.07692307692307693,15.952380952380953,5,47,nan,6,6,nan,13,77,nan,5,5,nan,0.14362272240085744,0.15005359056806003,nan,6,6,113.8909576205011,1.0921061609153682,1.2299317342103009,15500,15990,44648.895,14.716,3611.297,92.135,41.99818181818182,47.0,0.30000001192092896,4.999999873689376e-05,0.34211892,-0.05312039,0.41652972,0.646487,0.023364954,2.8299928,0.009999999776482582
-14.0,-76.0,-27.3,13.908333333333333,120,1669,False,17659,799,10,2baa5b07a31444e7b7374c9088cb2643,2021-08-16_11-40-40,1629114040,28.281014919281006,463.82958936691284,9311,gpu-os03,132.68.52.223,463.82958936691284,17659,10,8,ac90a448,"0_rules=_home_lina_NeuroCuts_packet_classification_classbench_acl5_1k,tree_gae_lambda=0.95",2.339210432297249,0.14362272240085744,7.005359056806002,6.066666666666666,6,10,16.025,0,59,6.0,6,6,16.025,0,59,281.34166666666664,0,748,170.98333333333332,13,711,0.013366252972184849,0.0,0.07692307692307693,13.908333333333333,5,45,nan,6,6,nan,13,75,nan,5,6,nan,0.14362272240085744,0.1907824222936763,nan,6,6,110.24304720137586,1.0901788767238871,1.2249711150879636,17100,17659,42678.348,13.678,3580.972,83.673,48.707317073170735,47.0,0.44999998807907104,4.999999873689376e-05,0.37405562,-0.041276827,0.43497518,0.64946043,0.017396092,2.7470984,0.009999999776482582
